team,venue_city,venue_country,distance_km
Argentina,Vancouver,Canada,11297.0
Argentina,Seattle,USA,11131.0
Argentina,Los Angeles,USA,9849.5
Argentina,San Francisco Bay Area,USA,10351.3
Argentina,Boston,USA,8628.4
Argentina,New York/New Jersey,USA,8538.2
Argentina,Philadelphia,USA,8461.5
Argentina,Houston,USA,8134.7
Argentina,Miami,USA,7116.6
Armenia,Mexico City,Mexico,12405.6
Armenia,Guadalajara,Mexico,12478.2
Armenia,Monterrey,Mexico,11835.0
Armenia,Atlanta,USA,10265.6
Armenia,Kansas City,USA,10270.8
Armenia,Toronto,Canada,9134.9
Armenia,Dallas,USA,10996.6
Armenia,Vancouver,Canada,9994.0
Armenia,Seattle,USA,10168.5
Armenia,Los Angeles,USA,11585.8
Armenia,San Francisco Bay Area,USA,11278.5
Armenia,Boston,USA,8816.1
Armenia,New York/New Jersey,USA,9080.3
Armenia,Philadelphia,USA,9217.8
Armenia,Houston,USA,11214.8
Armenia,Miami,USA,10704.4
Aruba,Mexico City,Mexico,3199.5
Aruba,Guadalajara,Mexico,3668.6
Aruba,Monterrey,Mexico,3483.2
Aruba,Atlanta,USA,2773.7
Aruba,Kansas City,USA,3807.0
Aruba,Toronto,Canada,3574.2
Aruba,Dallas,USA,3553.7
Aruba,Vancouver,Canada,6321.1
Aruba,Seattle,USA,6200.2
Aruba,Los Angeles,USA,5418.1
Aruba,San Francisco Bay Area,USA,5829.7
Aruba,Boston,USA,3289.9
Aruba,New York/New Jersey,USA,3170.3
Aruba,Philadelphia,USA,3085.6
Aruba,Houston,USA,3238.0
Aruba,Miami,USA,1836.6
Australia,Mexico City,Mexico,13168.7
Australia,Guadalajara,Mexico,12857.0
Australia,Monterrey,Mexico,13412.7
Australia,Atlanta,USA,15168.9
Australia,Kansas City,USA,14479.2
Australia,Toronto,Canada,15807.3
Australia,Dallas,USA,14022.2
Australia,Vancouver,Canada,12747.6
Australia,Seattle,USA,12716.4
Australia,Los Angeles,USA,12302.9
Australia,San Francisco Bay Area,USA,12207.2
Australia,Boston,USA,16462.9
Australia,New York/New Jersey,USA,16221.3
Australia,Philadelphia,USA,16118.8
Australia,Houston,USA,14035.3
Australia,Miami,USA,15228.4
Austria,Mexico City,Mexico,10163.9
Austria,Guadalajara,Mexico,10306.4
Austria,Monterrey,Mexico,9664.3
Austria,Atlanta,USA,7994.7
Austria,Kansas City,USA,8163.4
Austria,Toronto,Canada,6920.5
Austria,Dallas,USA,8853.9
Austria,Vancouver,Canada,8499.5
Austria,Seattle,USA,8640.9
Austria,Los Angeles,USA,9832.4
Austria,San Francisco Bay Area,USA,9642.1
Austria,Boston,USA,6522.4
Austria,New York/New Jersey,USA,6793.3
Austria,Philadelphia,USA,6929.8
Austria,Houston,USA,9020.1
Austria,Miami,USA,8349.2
Azerbaijan,Mexico City,Mexico,12646.0
Azerbaijan,Guadalajara,Mexico,12686.7
Azerbaijan,Monterrey,Mexico,12048.0
Azerbaijan,Atlanta,USA,10532.7
Azerbaijan,Kansas City,USA,10471.6
Azerbaijan,Toronto,Canada,9384.0
Azerbaijan,Dallas,USA,11204.9
Azerbaijan,Vancouver,Canada,10022.4
Azerbaijan,Seattle,USA,10202.8
Azerbaijan,Los Angeles,USA,11662.1
Azerbaijan,San Francisco Bay Area,USA,11326.5
Azerbaijan,Boston,USA,9101.3
Azerbaijan,New York/New Jersey,USA,9361.1
Azerbaijan,Philadelphia,USA,9498.3
Azerbaijan,Houston,USA,11442.3
Azerbaijan,Miami,USA,11017.8
Bahamas,Mexico City,Mexico,2331.6
Bahamas,Guadalajara,Mexico,2715.5
Bahamas,Monterrey,Mexico,2299.3
Bahamas,Atlanta,USA,1183.5
Bahamas,Kansas City,USA,2235.1
Bahamas,Toronto,Canada,2074.0
Bahamas,Dallas,USA,2099.6
Bahamas,Vancouver,Canada,4763.7
Bahamas,Seattle,USA,4654.5
Bahamas,Los Angeles,USA,4060.4
Bahamas,San Francisco Bay Area,USA,4414.3
Bahamas,Boston,USA,1974.5
Bahamas,New York/New Jersey,USA,1777.9
Bahamas,Philadelphia,USA,1662.8
Bahamas,Houston,USA,1854.4
Bahamas,Miami,USA,307.3
Bahrain,Mexico City,Mexico,13990.8
Bahrain,Guadalajara,Mexico,14096.8
Bahrain,Monterrey,Mexico,13452.0
Bahrain,Atlanta,USA,11827.7
Bahrain,Kansas City,USA,11901.4
Bahrain,Toronto,Canada,10726.2
Bahrain,Dallas,USA,12620.2
Bahrain,Vancouver,Canada,11597.5
Bahrain,Seattle,USA,11777.1
Bahrain,Los Angeles,USA,13223.2
Bahrain,San Francisco Bay Area,USA,12898.3
Bahrain,Boston,USA,10359.3
Bahrain,New York/New Jersey,USA,10629.0
Bahrain,Philadelphia,USA,10765.9
Bahrain,Houston,USA,12820.7
Bahrain,Miami,USA,12176.8
Bangladesh,Mexico City,Mexico,15121.2
Bangladesh,Guadalajara,Mexico,14855.6
Bangladesh,Monterrey,Mexico,14405.9
Bangladesh,Atlanta,USA,13601.6
Bangladesh,Kansas City,USA,13018.0
Bangladesh,Toronto,Canada,12455.0
Bangladesh,Dallas,USA,13687.0
Bangladesh,Vancouver,Canada,11246.5
Bangladesh,Seattle,USA,11436.6
Bangladesh,Los Angeles,USA,12919.3
Bangladesh,San Francisco Bay Area,USA,12422.3
Bangladesh,Boston,USA,12459.5
Bangladesh,New York/New Jersey,USA,12663.2
Bangladesh,Philadelphia,USA,12785.3
Bangladesh,Houston,USA,14045.4
Bangladesh,Miami,USA,14401.3
Barbados,Mexico City,Mexico,4268.0
Barbados,Guadalajara,Mexico,4726.3
Barbados,Monterrey,Mexico,4463.9
Barbados,Atlanta,USA,3397.6
Barbados,Kansas City,USA,4474.0
Barbados,Toronto,Canada,3886.3
Barbados,Dallas,USA,4381.5
Barbados,Vancouver,Canada,6995.6
Barbados,Seattle,USA,6901.4
Barbados,Los Angeles,USA,6327.5
Barbados,San Francisco Bay Area,USA,6696.0
Barbados,Boston,USA,3414.2
Barbados,New York/New Jersey,USA,3387.5
Barbados,Philadelphia,USA,3346.0
Barbados,Houston,USA,4114.8
Barbados,Miami,USA,2585.0
Belarus,Mexico City,Mexico,10424.3
Belarus,Guadalajara,Mexico,10495.5
Belarus,Monterrey,Mexico,9851.9
Belarus,Atlanta,USA,8294.1
Belarus,Kansas City,USA,8290.9
Belarus,Toronto,Canada,7154.7
Belarus,Dallas,USA,9014.5
Belarus,Vancouver,Canada,8218.0
Belarus,Seattle,USA,8378.8
Belarus,Los Angeles,USA,9710.9
Belarus,San Francisco Bay Area,USA,9450.3
Belarus,Boston,USA,6857.9
Belarus,New York/New Jersey,USA,7118.2
Belarus,Philadelphia,USA,7255.5
Belarus,Houston,USA,9231.4
Belarus,Miami,USA,8778.8
Belgium,Mexico City,Mexico,9259.0
Belgium,Guadalajara,Mexico,9413.2
Belgium,Monterrey,Mexico,8773.4
Belgium,Atlanta,USA,7088.4
Belgium,Kansas City,USA,7293.5
Belgium,Toronto,Canada,6028.8
Belgium,Dallas,USA,7971.9
Belgium,Vancouver,Canada,7816.6
Belgium,Seattle,USA,7944.1
Belgium,Los Angeles,USA,9046.7
Belgium,San Francisco Bay Area,USA,8893.6
Belgium,Boston,USA,5614.3
Belgium,New York/New Jersey,USA,5886.0
Belgium,Philadelphia,USA,6022.1
Belgium,Houston,USA,8126.1
Belgium,Miami,USA,7434.6
Belize,Mexico City,Mexico,1119.7
Belize,Guadalajara,Mexico,1591.0
Belize,Monterrey,Mexico,1511.1
Belize,Atlanta,USA,1886.3
Belize,Kansas City,USA,2486.5
Belize,Toronto,Canada,3062.7
Belize,Dallas,USA,1914.8
Belize,Vancouver,Canada,4707.9
Belize,Seattle,USA,4550.2
Belize,Los Angeles,USA,3478.6
Belize,San Francisco Bay Area,USA,3938.6
Belize,Boston,USA,3224.0
Belize,New York/New Jersey,USA,2974.4
Belize,Philadelphia,USA,2839.3
Belize,Houston,USA,1538.9
Belize,Miami,USA,1308.6
Benin,Mexico City,Mexico,10976.2
Benin,Guadalajara,Mexico,11389.9
Benin,Monterrey,Mexico,10956.2
Benin,Atlanta,USA,9321.6
Benin,Kansas City,USA,10153.5
Benin,Toronto,Canada,8863.3
Benin,Dallas,USA,10506.1
Benin,Vancouver,Canada,11900.5
Benin,Seattle,USA,11949.7
Benin,Los Angeles,USA,12351.5
Benin,San Francisco Bay Area,USA,12480.9
Benin,Boston,USA,8189.4
Benin,New York/New Jersey,USA,8409.9
Benin,Philadelphia,USA,8496.1
Benin,Houston,USA,10407.3
Benin,Miami,USA,8966.1
Bermuda,Mexico City,Mexico,3711.0
Bermuda,Guadalajara,Mexico,4035.4
Bermuda,Monterrey,Mexico,3511.1
Bermuda,Atlanta,USA,1833.9
Bermuda,Kansas City,USA,2772.8
Bermuda,Toronto,Canada,1794.2
Bermuda,Dallas,USA,3018.6
Bermuda,Vancouver,Canada,5117.3
Bermuda,Seattle,USA,5064.6
Bermuda,Los Angeles,USA,4933.5
Bermuda,San Francisco Bay Area,USA,5170.6
Bermuda,Boston,USA,1230.9
Bermuda,New York/New Jersey,USA,1258.4
Bermuda,Philadelphia,USA,1258.2
Bermuda,Houston,USA,2924.5
Bermuda,Miami,USA,1656.4
Bhutan,Mexico City,Mexico,14729.1
Bhutan,Guadalajara,Mexico,14478.9
Bhutan,Monterrey,Mexico,14012.6
Bhutan,Atlanta,USA,13178.7
Bhutan,Kansas City,USA,12606.6
Bhutan,Toronto,Canada,12030.8
Bhutan,Dallas,USA,13281.9
Bhutan,Vancouver,Canada,10884.9
Bhutan,Seattle,USA,11076.6
Bhutan,Los Angeles,USA,12576.3
Bhutan,San Francisco Bay Area,USA,12083.4
Bhutan,Boston,USA,12036.1
Bhutan,New York/New Jersey,USA,12239.0
Bhutan,Philadelphia,USA,12360.9
Bhutan,Houston,USA,13637.5
Bhutan,Miami,USA,13976.7
Bolivia,Mexico City,Mexico,5228.1
Bolivia,Guadalajara,Mexico,5651.4
Bolivia,Monterrey,Mexico,5835.2
Bolivia,Atlanta,USA,5847.7
Bolivia,Kansas City,USA,6756.5
Bolivia,Toronto,Canada,6784.4
Bolivia,Dallas,USA,6281.5
