season_year,data_source,match_id,match_date,competition_stage,team_code,team_name,opponent_code,opponent_name,is_home,goals,opponent_goals,result,total_shots,shots_on_target,blocked_shots,xg_total,fouls_committed,fouls_won,yellow_cards,red_cards,corners,offsides,passes,passes_completed,pass_pct,clearances,interceptions,possession_pct,saves,effective_tackles,venue,venue_city,referee_name,elo_pre,elo_diff_pre,neutral_pit
2026,espn_boxscore,760414,2026-06-11,,KOR,South Korea,CZE,Czech Republic,TRUE,2,1,W,15,6,4,,9,,1,0,4,2,541,,90,32,9,61.5,3,4,Estadio Akron,Guadalajara,,1879.9769,73.57799999999997,True
2026,espn_boxscore,760414,2026-06-11,,CZE,Czech Republic,KOR,South Korea,FALSE,1,2,L,7,4,1,,16,,0,0,5,2,327,,70,21,6,38.5,4,7,Estadio Akron,Guadalajara,,1806.3989,-73.57799999999997,True
2026,espn_boxscore,760415,2026-06-11,,MEX,Mexico,RSA,South Africa,TRUE,2,0,W,16,4,5,,12,,1,1,3,1,520,,90,15,8,60.5,2,6,Estadio Banorte,Mexico City,,1984.7936,321.47669999999994,False
2026,espn_boxscore,760415,2026-06-11,,RSA,South Africa,MEX,Mexico,FALSE,0,2,L,3,2,0,,11,,2,2,1,1,334,,80,17,7,39.5,2,7,Estadio Banorte,Mexico City,,1663.3169,-321.47669999999994,False
2026,espn_boxscore,760416,2026-06-12,,CAN,Canada,BIH,Bosnia and Herzegovina,TRUE,1,1,D,13,4,4,,10,,2,0,9,1,421,,70,21,4,61.1,2,15,BMO Field,Toronto,,1901.9781,249.15730000000008,False
2026,espn_boxscore,760416,2026-06-12,,BIH,Bosnia and Herzegovina,CAN,Canada,FALSE,1,1,D,8,3,1,,20,,3,0,4,0,271,,60,70,11,38.9,1,12,BMO Field,Toronto,,1652.8208,-249.15730000000008,False
2026,espn_boxscore,760417,2026-06-12,,USA,United States,PAR,Paraguay,TRUE,4,1,W,16,6,4,,13,,1,0,3,2,598,,90,15,9,65.3,1,7,SoFi Stadium,"Inglewood, California",,1827.4984,-90.24720000000002,False
2026,espn_boxscore,760417,2026-06-12,,PAR,Paraguay,USA,United States,FALSE,1,4,L,9,1,5,,17,,5,0,1,1,319,,70,33,10,34.7,3,16,SoFi Stadium,"Inglewood, California",,1917.7456,90.24720000000002,False
2026,espn_boxscore,760418,2026-06-13,,HAI,Haiti,SCO,Scotland,TRUE,0,1,L,15,2,4,,23,,1,0,4,3,431,,90,20,6,53.7,1,7,Gillette Stadium,"Foxborough, Massachusetts",,1717.2284,-134.92180000000008,True
2026,espn_boxscore,760418,2026-06-13,,SCO,Scotland,HAI,Haiti,FALSE,1,0,W,9,2,2,,21,,3,0,3,1,374,,80,17,6,46.3,2,5,Gillette Stadium,"Foxborough, Massachusetts",,1852.1502,134.92180000000008,True
2026,espn_boxscore,760419,2026-06-13,,BRA,Brazil,MAR,Morocco,TRUE,1,1,D,12,5,3,,16,,2,0,6,0,514,,90,23,5,51.4,2,13,MetLife Stadium,"East Rutherford, New Jersey",,2068.632,83.78290000000015,True
2026,espn_boxscore,760419,2026-06-13,,MAR,Morocco,BRA,Brazil,FALSE,1,1,D,14,3,6,,14,,0,0,2,1,486,,90,17,5,48.6,4,18,MetLife Stadium,"East Rutherford, New Jersey",,1984.8491,-83.78290000000015,True
2026,espn_boxscore,760420,2026-06-13,,QAT,Qatar,SUI,Switzerland,TRUE,1,1,D,6,3,0,,12,,2,0,3,0,278,,70,31,11,32,5,9,Levi's Stadium,"Santa Clara, California",,1564.5424,-387.24440000000004,True
2026,espn_boxscore,760420,2026-06-13,,SUI,Switzerland,QAT,Qatar,FALSE,1,1,D,26,7,9,,11,,1,0,10,1,576,,90,13,7,68,3,6,Levi's Stadium,"Santa Clara, California",,1951.7868,387.24440000000004,True
2026,espn_boxscore,760421,2026-06-14,,AUS,Australia,TUR,Turkey,TRUE,2,0,W,9,4,1,,12,,0,0,5,1,271,,70,55,7,28.4,8,5,BC Place,Vancouver,,1900.7948,-73.64660000000003,True
2026,espn_boxscore,760421,2026-06-14,,TUR,Turkey,AUS,Australia,FALSE,0,2,L,30,8,12,,4,,1,0,8,3,704,,90,29,4,71.6,2,8,BC Place,Vancouver,,1974.4414,73.64660000000003,True
2026,espn_boxscore,760422,2026-06-14,,GER,Germany,CUR,Curaçao,TRUE,7,1,W,26,12,8,,18,,0,0,8,0,637,,90,8,12,64.6,1,13,NRG Stadium,"Houston, Texas",,2000.3014,388.85570000000007,True
2026,espn_boxscore,760422,2026-06-14,,CUR,Curaçao,GER,Germany,FALSE,1,7,L,8,2,0,,11,,0,0,1,1,343,,80,25,16,35.4,4,8,NRG Stadium,"Houston, Texas",,1611.4457,-388.85570000000007,True
2026,espn_boxscore,760423,2026-06-14,,CIV,Ivory Coast,ECU,Ecuador,TRUE,1,0,W,15,4,3,,10,,3,0,3,0,470,,80,29,11,48.4,1,9,Lincoln Financial Field,"Philadelphia, Pennsylvania",,1814.7168,-213.37210000000005,True
2026,espn_boxscore,760423,2026-06-14,,ECU,Ecuador,CIV,Ivory Coast,FALSE,0,1,L,12,1,3,,13,,1,0,6,0,492,,90,18,13,51.6,3,15,Lincoln Financial Field,"Philadelphia, Pennsylvania",,2028.0889,213.37210000000005,True
2026,espn_boxscore,760424,2026-06-14,,SWE,Sweden,TUN,Tunisia,TRUE,5,1,W,13,7,3,,10,,0,0,4,3,356,,80,23,6,48.7,1,9,Estadio BBVA,Guadalupe,,1775.251,37.79919999999993,True
2026,espn_boxscore,760424,2026-06-14,,TUN,Tunisia,SWE,Sweden,FALSE,1,5,L,6,2,1,,8,,1,0,2,6,371,,80,13,6,51.3,1,12,Estadio BBVA,Guadalupe,,1737.4518,-37.79919999999993,True
2026,espn_boxscore,760425,2026-06-14,,NED,Netherlands,JPN,Japan,TRUE,2,2,D,10,6,1,,7,,3,0,5,1,524,,90,23,7,59.8,1,5,AT&T Stadium,"Arlington, Texas",,2009.2805,16.551800000000185,True
2026,espn_boxscore,760425,2026-06-14,,JPN,Japan,NED,Netherlands,FALSE,2,2,D,10,3,1,,7,,0,0,4,0,341,,80,32,4,40.2,4,10,AT&T Stadium,"Arlington, Texas",,1992.7287,-16.551800000000185,True
2026,espn_boxscore,760426,2026-06-15,,BEL,Belgium,EGY,Egypt,TRUE,1,1,D,15,3,5,,15,,2,0,2,0,455,,90,25,10,53.6,2,11,Lumen Field,"Seattle, Washington",,1944.7165,134.9638,True
2026,espn_boxscore,760426,2026-06-15,,EGY,Egypt,BEL,Belgium,FALSE,1,1,D,14,3,7,,15,,2,0,7,1,398,,80,17,16,46.4,3,17,Lumen Field,"Seattle, Washington",,1809.7527,-134.9638,True
2026,espn_boxscore,760427,2026-06-15,,IRN,Iran,NZL,New Zealand,TRUE,2,2,D,17,4,5,,10,,1,0,4,2,409,,80,27,11,48.5,6,10,SoFi Stadium,"Inglewood, California",,1894.4322,163.56169999999997,True
2026,espn_boxscore,760427,2026-06-15,,NZL,New Zealand,IRN,Iran,FALSE,2,2,D,14,8,2,,8,,0,0,1,0,446,,80,26,15,51.5,2,10,SoFi Stadium,"Inglewood, California",,1730.8705,-163.56169999999997,True
2026,espn_boxscore,760428,2026-06-15,,ESP,Spain,CPV,Cape Verde,TRUE,0,0,D,27,7,8,,10,,1,0,11,2,800,,90,7,6,74.3,1,12,Mercedes-Benz Stadium,"Atlanta, Georgia",,2225.561,572.1075000000001,True
2026,espn_boxscore,760428,2026-06-15,,CPV,Cape Verde,ESP,Spain,FALSE,0,0,D,6,1,2,,1,,1,0,1,3,278,,70,46,15,25.7,7,11,Mercedes-Benz Stadium,"Atlanta, Georgia",,1653.4535,-572.1075000000001,True
2026,espn_boxscore,760429,2026-06-15,,SAU,Saudi Arabia,URU,Uruguay,TRUE,1,1,D,7,3,1,,11,,1,0,4,0,322,,70,43,9,33.2,9,8,Hard Rock Stadium,"Miami Gardens, Florida",,1693.8249,-281.24559999999997,True
2026,espn_boxscore,760429,2026-06-15,,URU,Uruguay,SAU,Saudi Arabia,FALSE,1,1,D,27,10,7,,6,,0,0,14,6,612,,90,17,10,66.8,2,2,Hard Rock Stadium,"Miami Gardens, Florida",,1975.0705,281.24559999999997,True
2026,espn_boxscore,760430,2026-06-16,,IRQ,Iraq,NOR,Norway,TRUE,1,4,L,11,1,2,,12,,1,0,2,1,334,,80,20,5,38.7,2,13,Gillette Stadium,"Foxborough, Massachusetts",,1736.5496,-247.28829999999994,True
