tournament,match_count,k_factor,category
Copa Roca,23,30,All other tournaments (regional/minor/invitational/CONIFA)
MSG Prime Minister's Cup,23,30,All other tournaments (regional/minor/invitational/CONIFA)
Kirin Challenge Cup,22,30,All other tournaments (regional/minor/invitational/CONIFA)
Prime Minister's Cup,22,30,All other tournaments (regional/minor/invitational/CONIFA)
Soccer Ashes,21,30,All other tournaments (regional/minor/invitational/CONIFA)
ABCS Tournament,20,30,All other tournaments (regional/minor/invitational/CONIFA)
Copa del Pacífico,19,30,All other tournaments (regional/minor/invitational/CONIFA)
Inter Games,19,30,All other tournaments (regional/minor/invitational/CONIFA)
Copa Rio Branco,18,30,All other tournaments (regional/minor/invitational/CONIFA)
East Asian Games,17,30,All other tournaments (regional/minor/invitational/CONIFA)
Intercontinental Cup,17,30,All other tournaments (regional/minor/invitational/CONIFA)
Jordan International Tournament,17,30,All other tournaments (regional/minor/invitational/CONIFA)
Simba Tournament,17,30,All other tournaments (regional/minor/invitational/CONIFA)
Copa Carlos Dittborn,16,30,All other tournaments (regional/minor/invitational/CONIFA)
Copa Juan Pinto Durán,16,30,All other tournaments (regional/minor/invitational/CONIFA)
Copa Oswaldo Cruz,16,30,All other tournaments (regional/minor/invitational/CONIFA)
ELF Cup,16,30,All other tournaments (regional/minor/invitational/CONIFA)
Copa Premio Honor Uruguayo,15,30,All other tournaments (regional/minor/invitational/CONIFA)
Dunhill Cup,15,30,All other tournaments (regional/minor/invitational/CONIFA)
Kuneitra Cup,15,30,All other tournaments (regional/minor/invitational/CONIFA)
Millennium Cup,15,30,All other tournaments (regional/minor/invitational/CONIFA)
Pacific Mini Games,15,30,All other tournaments (regional/minor/invitational/CONIFA)
UNIFFAC Cup,15,30,All other tournaments (regional/minor/invitational/CONIFA)
GaNEFo,14,30,All other tournaments (regional/minor/invitational/CONIFA)
Nile Basin Tournament,14,30,All other tournaments (regional/minor/invitational/CONIFA)
AFC Solidarity Cup,13,30,All other tournaments (regional/minor/invitational/CONIFA)
Copa Artigas,13,30,All other tournaments (regional/minor/invitational/CONIFA)
Inter-Allied Games,13,30,All other tournaments (regional/minor/invitational/CONIFA)
Bolivarian Games,12,30,All other tournaments (regional/minor/invitational/CONIFA)
Copa Premio Honor Argentino,12,30,All other tournaments (regional/minor/invitational/CONIFA)
King Hassan II Tournament,12,30,All other tournaments (regional/minor/invitational/CONIFA)
Miami Cup,12,30,All other tournaments (regional/minor/invitational/CONIFA)
Philippine Peace Cup,12,30,All other tournaments (regional/minor/invitational/CONIFA)
Trans-Tasman Cup,12,30,All other tournaments (regional/minor/invitational/CONIFA)
Unity Cup,12,30,All other tournaments (regional/minor/invitational/CONIFA)
Atlantic Cup,11,30,All other tournaments (regional/minor/invitational/CONIFA)
Palestine International Championship,11,30,All other tournaments (regional/minor/invitational/CONIFA)
Rous Cup,11,30,All other tournaments (regional/minor/invitational/CONIFA)
SKN Football Festival,11,30,All other tournaments (regional/minor/invitational/CONIFA)
Tournament Burkina Faso,11,30,All other tournaments (regional/minor/invitational/CONIFA)
Beijing International Friendship Tournament,10,30,All other tournaments (regional/minor/invitational/CONIFA)
CAFA Nations Cup,10,30,All other tournaments (regional/minor/invitational/CONIFA)
Copa Bernardo O'Higgins,10,30,All other tournaments (regional/minor/invitational/CONIFA)
FIFI Wild Cup,10,30,All other tournaments (regional/minor/invitational/CONIFA)
Tournoi de France,10,30,All other tournaments (regional/minor/invitational/CONIFA)
Dragon Cup,9,30,All other tournaments (regional/minor/invitational/CONIFA)
VFF Cup,9,30,All other tournaments (regional/minor/invitational/CONIFA)
CONIFA Asia Cup,8,30,All other tournaments (regional/minor/invitational/CONIFA)
Copa América qualification,8,40,World Cup & major-confederation qualifiers
Four Nations Tournament,8,30,All other tournaments (regional/minor/invitational/CONIFA)
Marlboro Cup,8,30,All other tournaments (regional/minor/invitational/CONIFA)
Superclásico de las Américas,8,30,All other tournaments (regional/minor/invitational/CONIFA)
"International Tournament of Peoples, Cultures and Tribes",7,30,All other tournaments (regional/minor/invitational/CONIFA)
Mahinda Rajapaksa Cup,7,30,All other tournaments (regional/minor/invitational/CONIFA)
Mapinduzi Cup,7,30,All other tournaments (regional/minor/invitational/CONIFA)
Mundialito,7,30,All other tournaments (regional/minor/invitational/CONIFA)
Tri Nation Tournament,7,30,All other tournaments (regional/minor/invitational/CONIFA)
Copa Félix Bogado,6,30,All other tournaments (regional/minor/invitational/CONIFA)
Copa Ramón Castilla,6,30,All other tournaments (regional/minor/invitational/CONIFA)
"Morocco, Capital of African Football",6,30,All other tournaments (regional/minor/invitational/CONIFA)
NAFC Championship,6,30,All other tournaments (regional/minor/invitational/CONIFA)
Nations Cup,6,30,All other tournaments (regional/minor/invitational/CONIFA)
Peace Cup,6,30,All other tournaments (regional/minor/invitational/CONIFA)
Tynwald Hill Tournament,6,30,All other tournaments (regional/minor/invitational/CONIFA)
