event_id,date,match_slug,team_code,team_espn_abbr,home_away,goals,opponent_goals,fouls,yellow_cards,red_cards,offsides,corners,saves,possession_pct,total_shots,shots_on_target,blocked_shots,passes,pass_pct,interceptions,effective_tackles,clearances,venue,venue_city,rolling_n,rolling_fouls,rolling_yellow_cards,rolling_red_cards,rolling_offsides,rolling_corners,rolling_saves,rolling_possession_pct,rolling_total_shots,rolling_shots_on_target,rolling_blocked_shots,rolling_passes,rolling_pass_pct,rolling_interceptions,rolling_effective_tackles,rolling_clearances
760437,2026-06-17,ENG-CRO,ENG,ENG,home,4,2,10,0,0,0,8,3,51.7,22,11,5,474,0.9,7,7,16,AT&T Stadium,"Arlington, Texas",0,,,,,,,,,,,,,,,
760437,2026-06-17,ENG-CRO,CRO,CRO,away,2,4,12,0,0,1,2,7,48.3,10,5,2,443,0.9,9,8,17,AT&T Stadium,"Arlington, Texas",0,,,,,,,,,,,,,,,
760438,2026-06-18,CZE-RSA,CZE,CZE,home,1,1,12,1,0,2,5,3,38.3,14,3,3,341,0.8,9,4,22,Mercedes-Benz Stadium,"Atlanta, Georgia",1,16.0,0.0,0.0,2.0,5.0,4.0,38.5,7.0,4.0,1.0,327.0,0.7,6.0,7.0,21.0
760438,2026-06-18,CZE-RSA,RSA,RSA,away,1,1,10,2,0,3,5,2,61.7,17,4,8,563,0.9,9,11,24,Mercedes-Benz Stadium,"Atlanta, Georgia",1,11.0,2.0,2.0,1.0,1.0,2.0,39.5,3.0,2.0,0.0,334.0,0.8,7.0,7.0,17.0
760439,2026-06-18,SUI-BIH,SUI,SUI,home,4,1,7,1,0,3,7,2,62.3,13,7,3,586,0.9,5,13,17,SoFi Stadium,"Inglewood, California",1,11.0,1.0,0.0,1.0,10.0,3.0,68.0,26.0,7.0,9.0,576.0,0.9,7.0,6.0,13.0
760439,2026-06-18,SUI-BIH,BIH,BIH,away,1,4,18,2,1,1,3,3,37.7,5,3,1,354,0.8,11,3,36,SoFi Stadium,"Inglewood, California",1,20.0,3.0,0.0,0.0,4.0,1.0,38.9,8.0,3.0,1.0,271.0,0.6,11.0,12.0,70.0
760440,2026-06-18,CAN-QAT,CAN,CAN,home,6,0,9,1,0,1,19,0,79.0,32,10,14,567,0.9,6,5,3,BC Place,Vancouver,1,10.0,2.0,0.0,1.0,9.0,2.0,61.1,13.0,4.0,4.0,421.0,0.7,4.0,15.0,21.0
760440,2026-06-18,CAN-QAT,QAT,QAT,away,0,6,10,1,2,1,1,4,21.0,2,0,1,162,0.6,10,10,61,BC Place,Vancouver,1,12.0,2.0,0.0,0.0,3.0,5.0,32.0,6.0,3.0,0.0,278.0,0.7,11.0,9.0,31.0
760441,2026-06-18,MEX-KOR,MEX,MEX,home,1,0,9,0,0,3,1,2,42.4,8,4,1,427,0.8,6,7,20,Estadio Akron,Guadalajara,1,12.0,1.0,1.0,1.0,3.0,2.0,60.5,16.0,4.0,5.0,520.0,0.9,8.0,6.0,15.0
760441,2026-06-18,MEX-KOR,KOR,KOR,away,0,1,7,2,0,6,2,3,57.6,9,2,3,578,0.8,5,10,12,Estadio Akron,Guadalajara,1,9.0,1.0,0.0,2.0,4.0,3.0,61.5,15.0,6.0,4.0,541.0,0.9,9.0,4.0,32.0
760442,2026-06-19,USA-AUS,USA,USA,home,2,0,12,3,0,1,7,2,61.9,10,2,6,523,0.8,20,8,31,Lumen Field,"Seattle, Washington",1,13.0,1.0,0.0,2.0,3.0,1.0,65.3,16.0,6.0,4.0,598.0,0.9,9.0,7.0,15.0
760442,2026-06-19,USA-AUS,AUS,AUS,away,0,2,16,4,0,0,4,1,38.1,5,2,0,310,0.7,6,11,24,Lumen Field,"Seattle, Washington",1,12.0,0.0,0.0,1.0,5.0,8.0,28.4,9.0,4.0,1.0,271.0,0.7,7.0,5.0,55.0
760443,2026-06-19,TUR-PAR,TUR,TUR,home,0,1,14,1,0,2,12,1,78.5,32,5,12,629,0.9,6,11,29,Levi's Stadium,"Santa Clara, California",1,4.0,1.0,0.0,3.0,8.0,2.0,71.6,30.0,8.0,12.0,704.0,0.9,4.0,8.0,29.0
760443,2026-06-19,TUR-PAR,PAR,PAR,away,1,0,15,1,1,3,0,5,21.5,7,2,2,178,0.5,9,15,48,Levi's Stadium,"Santa Clara, California",1,17.0,5.0,0.0,1.0,1.0,3.0,34.7,9.0,1.0,5.0,319.0,0.7,10.0,16.0,33.0
760444,2026-06-19,BRA-HAI,BRA,BRA,home,3,0,13,1,0,8,4,3,56.7,8,5,1,525,0.9,10,10,14,Lincoln Financial Field,"Philadelphia, Pennsylvania",1,16.0,2.0,0.0,0.0,6.0,2.0,51.4,12.0,5.0,3.0,514.0,0.9,5.0,13.0,23.0
760444,2026-06-19,BRA-HAI,HAI,HAI,away,0,3,14,3,0,4,4,2,43.3,7,3,1,399,0.8,9,10,22,Lincoln Financial Field,"Philadelphia, Pennsylvania",1,23.0,1.0,0.0,3.0,4.0,1.0,53.7,15.0,2.0,4.0,431.0,0.9,6.0,7.0,20.0
760445,2026-06-19,SCO-MAR,SCO,SCO,home,0,1,11,1,0,1,2,1,41.1,6,0,3,456,0.9,9,12,17,Gillette Stadium,"Foxborough, Massachusetts",1,21.0,3.0,0.0,1.0,3.0,2.0,46.3,9.0,2.0,2.0,374.0,0.8,6.0,5.0,17.0
760445,2026-06-19,SCO-MAR,MAR,MAR,away,1,0,8,1,0,0,5,0,58.9,12,2,4,670,0.9,5,6,14,Gillette Stadium,"Foxborough, Massachusetts",1,14.0,0.0,0.0,1.0,2.0,4.0,48.6,14.0,3.0,6.0,486.0,0.9,5.0,18.0,17.0
760446,2026-06-20,ECU-CUR,ECU,ECU,home,0,0,7,1,0,1,9,3,74.6,27,15,2,644,0.9,7,11,17,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",1,13.0,1.0,0.0,0.0,6.0,3.0,51.6,12.0,1.0,3.0,492.0,0.9,13.0,15.0,18.0
760446,2026-06-20,ECU-CUR,CUR,CUW,away,0,0,10,5,0,2,0,15,25.4,10,3,3,227,0.7,8,7,32,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",1,11.0,0.0,0.0,1.0,1.0,4.0,35.4,8.0,2.0,0.0,343.0,0.8,16.0,8.0,25.0
760447,2026-06-20,NED-SWE,NED,NED,home,5,1,9,0,0,3,2,7,50.9,10,7,1,449,0.9,8,8,24,NRG Stadium,"Houston, Texas",1,7.0,3.0,0.0,1.0,5.0,1.0,59.8,10.0,6.0,1.0,524.0,0.9,7.0,5.0,23.0
760447,2026-06-20,NED-SWE,SWE,SWE,away,1,5,12,3,0,3,5,2,49.1,16,8,3,425,0.8,5,9,14,NRG Stadium,"Houston, Texas",1,10.0,0.0,0.0,3.0,4.0,1.0,48.7,13.0,7.0,3.0,356.0,0.8,6.0,9.0,23.0
760448,2026-06-20,GER-CIV,GER,GER,home,2,1,5,0,0,0,8,1,59.5,16,7,4,624,0.9,8,17,14,BMO Field,Toronto,1,18.0,0.0,0.0,0.0,8.0,1.0,64.6,26.0,12.0,8.0,637.0,0.9,12.0,13.0,8.0
760448,2026-06-20,GER-CIV,CIV,CIV,away,1,2,7,0,0,1,3,5,40.5,9,2,5,431,0.9,13,11,26,BMO Field,Toronto,1,10.0,3.0,0.0,0.0,3.0,1.0,48.4,15.0,4.0,3.0,470.0,0.8,11.0,9.0,29.0
760449,2026-06-21,TUN-JPN,TUN,TUN,home,0,4,8,0,0,1,3,1,37.9,2,0,1,354,0.8,14,16,23,Estadio BBVA,Guadalupe,1,8.0,1.0,0.0,6.0,2.0,1.0,51.3,6.0,2.0,1.0,371.0,0.8,6.0,12.0,13.0
760449,2026-06-21,TUN-JPN,JPN,JPN,away,4,0,15,0,0,1,5,0,62.1,11,5,3,583,0.9,7,12,25,Estadio BBVA,Guadalupe,1,7.0,0.0,0.0,0.0,4.0,4.0,40.2,10.0,3.0,1.0,341.0,0.8,4.0,10.0,32.0
760450,2026-06-21,URU-CPV,URU,URU,home,2,2,11,2,0,3,11,2,65.2,17,2,7,511,0.8,7,8,11,Hard Rock Stadium,"Miami Gardens, Florida",1,6.0,0.0,0.0,6.0,14.0,2.0,66.8,27.0,10.0,7.0,612.0,0.9,10.0,2.0,17.0
760450,2026-06-21,URU-CPV,CPV,CPV,away,2,2,4,2,0,0,4,0,34.8,12,4,4,278,0.7,13,15,48,Hard Rock Stadium,"Miami Gardens, Florida",1,1.0,1.0,0.0,3.0,1.0,7.0,25.7,6.0,1.0,2.0,278.0,0.7,15.0,11.0,46.0
760451,2026-06-21,BEL-IRN,BEL,BEL,home,0,0,7,1,1,3,4,3,70.1,23,7,6,621,0.9,3,7,11,SoFi Stadium,"Inglewood, California",1,15.0,2.0,0.0,0.0,2.0,2.0,53.6,15.0,3.0,5.0,455.0,0.9,10.0,11.0,25.0
760451,2026-06-21,BEL-IRN,IRN,IRN,away,0,0,9,1,0,4,2,7,29.9,7,3,1,270,0.7,12,11,51,SoFi Stadium,"Inglewood, California",1,10.0,1.0,0.0,2.0,4.0,6.0,48.5,17.0,4.0,5.0,409.0,0.8,11.0,10.0,27.0
760452,2026-06-21,NZL-EGY,NZL,NZL,home,1,3,14,2,0,3,4,4,44.4,11,5,3,421,0.8,4,6,22,BC Place,Vancouver,1,8.0,0.0,0.0,0.0,1.0,2.0,51.5,14.0,8.0,2.0,446.0,0.8,15.0,10.0,26.0
760452,2026-06-21,NZL-EGY,EGY,EGY,away,3,1,8,1,0,0,4,4,55.6,19,7,6,526,0.9,6,13,37,BC Place,Vancouver,1,15.0,2.0,0.0,1.0,7.0,3.0,46.4,14.0,3.0,7.0,398.0,0.8,16.0,17.0,17.0
760453,2026-06-21,ESP-SAU,ESP,ESP,home,4,0,10,0,0,2,6,1,67.1,22,8,2,726,0.9,13,8,17,Mercedes-Benz Stadium,"Atlanta, Georgia",1,10.0,1.0,0.0,2.0,11.0,1.0,74.3,27.0,7.0,8.0,800.0,0.9,6.0,12.0,7.0
760453,2026-06-21,ESP-SAU,SAU,KSA,away,0,4,2,2,0,3,1,5,32.9,3,1,1,364,0.8,13,12,35,Mercedes-Benz Stadium,"Atlanta, Georgia",1,11.0,1.0,0.0,0.0,4.0,9.0,33.2,7.0,3.0,1.0,322.0,0.7,9.0,8.0,43.0
760454,2026-06-22,NOR-SEN,NOR,NOR,home,3,2,13,0,0,0,5,2,41.7,13,7,3,353,0.8,8,9,26,MetLife Stadium,"East Rutherford, New Jersey",1,13.0,0.0,0.0,0.0,5.0,0.0,61.3,12.0,5.0,3.0,537.0,0.9,2.0,10.0,22.0
760454,2026-06-22,NOR-SEN,SEN,SEN,away,2,3,5,0,0,4,4,3,58.3,16,4,5,489,0.9,10,7,18,MetLife Stadium,"East Rutherford, New Jersey",1,9.0,0.0,0.0,3.0,4.0,5.0,46.6,6.0,2.0,1.0,502.0,0.9,8.0,10.0,17.0
760455,2026-06-22,JOR-ALG,JOR,JOR,home,1,2,11,1,0,1,1,6,27.9,8,4,0,251,0.7,3,17,36,Levi's Stadium,"Santa Clara, California",1,7.0,0.0,0.0,1.0,3.0,1.0,36.8,11.0,4.0,2.0,332.0,0.7,12.0,6.0,39.0
760455,2026-06-22,JOR-ALG,ALG,ALG,away,2,1,6,1,0,0,10,3,72.1,17,8,5,641,0.9,11,18,15,Levi's Stadium,"Santa Clara, California",1,8.0,0.0,0.0,1.0,2.0,3.0,52.2,7.0,1.0,3.0,609.0,0.9,8.0,10.0,12.0
760456,2026-06-22,ARG-AUT,ARG,ARG,home,2,0,13,2,0,2,1,1,53.6,12,5,3,554,0.9,8,11,35,AT&T Stadium,"Arlington, Texas",1,13.0,0.0,0.0,3.0,2.0,0.0,47.8,10.0,6.0,1.0,561.0,0.9,10.0,19.0,17.0
760456,2026-06-22,ARG-AUT,AUT,AUT,away,0,2,13,2,0,0,3,2,46.4,6,1,0,468,0.9,9,7,15,AT&T Stadium,"Arlington, Texas",1,12.0,1.0,0.0,3.0,4.0,3.0,63.2,11.0,4.0,1.0,580.0,0.8,15.0,7.0,24.0
760457,2026-06-22,FRA-IRQ,FRA,FRA,home,3,0,8,0,0,1,4,0,55.6,19,5,4,603,0.9,5,9,9,Lincoln Financial Field,"Philadelphia, Pennsylvania",1,5.0,0.0,0.0,1.0,6.0,2.0,53.4,11.0,8.0,2.0,575.0,0.9,7.0,14.0,14.0
760457,2026-06-22,FRA-IRQ,IRQ,IRQ,away,0,3,4,1,0,0,2,2,44.4,4,0,1,481,0.9,10,8,28,Lincoln Financial Field,"Philadelphia, Pennsylvania",1,12.0,1.0,0.0,1.0,2.0,2.0,38.7,11.0,1.0,2.0,334.0,0.8,5.0,13.0,20.0
760458,2026-06-23,ENG-GHA,ENG,ENG,home,0,0,14,1,0,2,9,0,78.9,19,3,6,633,0.9,1,7,6,Gillette Stadium,"Foxborough, Massachusetts",1,10.0,0.0,0.0,0.0,8.0,3.0,51.7,22.0,11.0,5.0,474.0,0.9,7.0,7.0,16.0
760458,2026-06-23,ENG-GHA,GHA,GHA,away,0,0,24,1,0,2,2,3,21.1,2,1,1,172,0.7,8,17,39,Gillette Stadium,"Foxborough, Massachusetts",1,9.0,1.0,0.0,4.0,2.0,4.0,38.0,7.0,2.0,1.0,352.0,0.8,8.0,9.0,28.0
760459,2026-06-23,COL-CDR,COL,COL,home,1,0,12,2,0,7,5,1,63.5,20,9,6,541,0.9,10,6,18,Estadio Akron,Guadalajara,1,11.0,1.0,0.0,3.0,4.0,1.0,61.4,15.0,4.0,4.0,519.0,0.9,6.0,3.0,20.0
760459,2026-06-23,COL-CDR,CDR,COD,away,0,1,16,1,0,0,4,8,36.5,7,1,2,299,0.8,7,10,19,Estadio Akron,Guadalajara,1,10.0,1.0,0.0,2.0,4.0,0.0,24.6,8.0,2.0,3.0,249.0,0.8,5.0,9.0,27.0
760460,2026-06-23,PAN-CRO,PAN,PAN,home,0,1,19,1,0,1,7,1,42.0,8,1,2,352,0.8,5,5,29,BMO Field,Toronto,1,11.0,2.0,0.0,1.0,2.0,2.0,62.0,11.0,4.0,2.0,583.0,0.9,5.0,11.0,17.0
760460,2026-06-23,PAN-CRO,CRO,CRO,away,1,0,12,1,0,2,2,1,58.0,6,2,1,512,0.8,5,7,38,BMO Field,Toronto,1,12.0,0.0,0.0,1.0,2.0,7.0,48.3,10.0,5.0,2.0,443.0,0.9,9.0,8.0,17.0
760461,2026-06-23,POR-UZB,POR,POR,home,5,0,14,1,0,2,3,2,65.9,17,9,3,624,0.9,6,10,16,NRG Stadium,"Houston, Texas",1,9.0,3.0,0.0,3.0,5.0,1.0,75.4,7.0,1.0,2.0,783.0,0.9,3.0,6.0,10.0
760461,2026-06-23,POR-UZB,UZB,UZB,away,0,5,15,1,0,2,2,4,34.1,7,2,3,327,0.8,14,13,30,NRG Stadium,"Houston, Texas",1,14.0,1.0,0.0,0.0,3.0,1.0,38.6,8.0,2.0,2.0,319.0,0.8,7.0,7.0,24.0
760462,2026-06-24,BIH-QAT,BIH,BIH,home,3,1,9,1,0,1,5,2,54.4,14,5,5,515,0.9,4,9,22,Lumen Field,"Seattle, Washington",2,19.0,2.5,0.5,0.5,3.5,2.0,38.3,6.5,3.0,1.0,312.5,0.7,11.0,7.5,53.0
760462,2026-06-24,BIH-QAT,QAT,QAT,away,1,3,14,1,0,3,5,3,45.6,9,3,0,434,0.9,4,5,24,Lumen Field,"Seattle, Washington",2,11.0,1.5,1.0,0.5,2.0,4.5,26.5,4.0,1.5,0.5,220.0,0.65,10.5,9.5,46.0
760463,2026-06-24,SUI-CAN,SUI,SUI,home,2,1,19,1,0,1,2,6,55.3,6,4,1,443,0.8,4,7,44,BC Place,Vancouver,2,9.0,1.0,0.0,2.0,8.5,2.5,65.15,19.5,7.0,6.0,581.0,0.9,6.0,9.5,15.0
760463,2026-06-24,SUI-CAN,CAN,CAN,away,1,2,13,2,0,3,7,2,44.7,13,7,3,339,0.8,13,5,19,BC Place,Vancouver,2,9.5,1.5,0.0,1.0,14.0,1.0,70.05,22.5,7.0,9.0,494.0,0.8,5.0,10.0,12.0
760464,2026-06-24,MAR-HAI,MAR,MAR,home,4,2,10,0,0,5,9,1,69.1,22,11,5,541,0.9,8,8,14,Mercedes-Benz Stadium,"Atlanta, Georgia",2,11.0,0.5,0.0,0.5,3.5,2.0,53.75,13.0,2.5,5.0,578.0,0.9,5.0,12.0,15.5
760464,2026-06-24,MAR-HAI,HAI,HAI,away,2,4,18,3,0,0,1,8,30.9,9,2,3,247,0.8,16,12,26,Mercedes-Benz Stadium,"Atlanta, Georgia",2,18.5,2.0,0.0,3.5,4.0,1.5,48.5,11.0,2.5,2.5,415.0,0.85,7.5,8.5,21.0
760465,2026-06-24,SCO-BRA,SCO,SCO,home,0,3,10,1,0,0,7,5,46.0,14,5,3,500,0.9,2,8,13,Hard Rock Stadium,"Miami Gardens, Florida",2,16.0,2.0,0.0,1.0,2.5,1.5,43.7,7.5,1.0,2.5,415.0,0.85,7.5,8.5,17.0
760465,2026-06-24,SCO-BRA,BRA,BRA,away,3,0,11,2,0,1,7,5,54.0,21,9,5,605,0.9,13,6,24,Hard Rock Stadium,"Miami Gardens, Florida",2,14.5,1.5,0.0,4.0,5.0,2.5,54.05,10.0,5.0,2.0,519.5,0.9,7.5,11.5,18.5
760466,2026-06-24,RSA-KOR,RSA,RSA,home,1,0,7,1,0,3,4,2,31.6,13,4,4,340,0.8,15,7,40,Estadio BBVA,Guadalupe,2,10.5,2.0,1.0,2.0,3.0,2.0,50.6,10.0,3.0,4.0,448.5,0.85,8.0,9.0,20.5
760466,2026-06-24,RSA-KOR,KOR,KOR,away,0,1,9,1,0,0,6,3,68.4,8,3,1,719,0.9,4,9,16,Estadio BBVA,Guadalupe,2,8.0,1.5,0.0,4.0,3.0,3.0,59.55,12.0,4.0,3.5,559.5,0.85,7.0,7.0,22.0
