date,event_id,team_code,team_name,opponent_code,opponent_name,goals,opponent_goals,neutral,true_home_advantage,elo_pre,elo_post
2026-06-19,760442,AUS,Australia,USA,United States,0,2,False,False,1955.1932,1913.2106
2026-06-19,760442,USA,United States,AUS,Australia,2,0,False,True,1878.5251,1920.5076
2026-06-19,760443,PAR,Paraguay,TUR,Turkey,1,0,True,False,1866.7189,1901.2875
2026-06-19,760443,TUR,Turkey,PAR,Paraguay,0,1,True,False,1920.043,1885.4745
2026-06-19,760444,BRA,Brazil,HAI,Haiti,3,0,True,False,2061.5346,2073.0841
2026-06-19,760444,HAI,Haiti,BRA,Brazil,0,3,True,False,1698.3261,1686.7767
2026-06-19,760445,MAR,Morocco,SCO,Scotland,1,0,True,False,1991.9465,2011.9095
2026-06-19,760445,SCO,Scotland,MAR,Morocco,0,1,True,False,1871.0525,1851.0894
2026-06-20,760446,CUR,Curaçao,ECU,Ecuador,0,0,True,False,1599.1608,1623.1863
2026-06-20,760446,ECU,Ecuador,CUR,Curaçao,0,0,True,False,1981.678,1957.6525
2026-06-20,760447,NED,Netherlands,SWE,Sweden,5,1,True,False,2007.8524,2037.0098
2026-06-20,760447,SWE,Sweden,NED,Netherlands,1,5,True,False,1825.4053,1796.2479
2026-06-20,760448,CIV,Ivory Coast,GER,Germany,1,2,True,False,1861.1277,1843.4357
2026-06-20,760448,GER,Germany,CIV,Ivory Coast,2,1,True,False,2012.5863,2030.2782
2026-06-21,760449,JPN,Japan,TUN,Tunisia,4,0,True,False,1994.1568,2010.5804
2026-06-21,760449,TUN,Tunisia,JPN,Japan,0,4,True,False,1687.2975,1670.8739
2026-06-21,760450,CPV,Cape Verde,URU,Uruguay,2,2,True,False,1681.3054,1701.0191
2026-06-21,760450,URU,Uruguay,CPV,Cape Verde,2,2,True,False,1954.9912,1935.2776
2026-06-21,760451,BEL,Belgium,IRN,Iran,0,0,True,False,1933.6156,1929.1294
2026-06-21,760451,IRN,Iran,BEL,Belgium,0,0,True,False,1881.2676,1885.7538
2026-06-21,760452,EGY,Egypt,NZL,New Zealand,3,1,True,False,1820.8536,1856.063
2026-06-21,760452,NZL,New Zealand,EGY,Egypt,1,3,True,False,1744.0351,1708.8256
2026-06-21,760453,ESP,Spain,SAU,Saudi Arabia,4,0,True,False,2197.7091,2204.2498
2026-06-21,760453,SAU,Saudi Arabia,ESP,Spain,0,4,True,False,1713.9042,1707.3634
2026-06-22,760454,NOR,Norway,SEN,Senegal,3,2,True,False,2004.2197,2024.9069
2026-06-22,760454,SEN,Senegal,NOR,Norway,2,3,True,False,1892.6861,1871.9989
2026-06-22,760455,ALG,Algeria,JOR,Jordan,2,1,True,False,1857.8523,1878.2843
2026-06-22,760455,JOR,Jordan,ALG,Algeria,1,2,True,False,1743.0396,1722.6075
2026-06-22,760456,ARG,Argentina,AUT,Austria,2,0,True,False,2204.1009,2218.5091
2026-06-22,760456,AUT,Austria,ARG,Argentina,0,2,True,False,1916.154,1901.7459
2026-06-22,760457,FRA,France,IRQ,Iraq,3,0,True,False,2149.1767,2157.1965
2026-06-22,760457,IRQ,Iraq,FRA,France,0,3,True,False,1716.1678,1708.148
2026-06-23,760458,ENG,England,GHA,Ghana,0,0,True,False,2120.7888,2095.0262
2026-06-23,760458,GHA,Ghana,ENG,England,0,0,True,False,1673.0943,1698.8568
2026-06-23,760459,CDR,DR Congo,COL,Colombia,0,1,True,False,1783.8444,1774.6761
2026-06-23,760459,COL,Colombia,CDR,DR Congo,1,0,True,False,2081.384,2090.5522
2026-06-23,760460,CRO,Croatia,PAN,Panama,1,0,True,False,1943.1727,1962.3155
2026-06-23,760460,PAN,Panama,CRO,Croatia,0,1,True,False,1811.4666,1792.3239
2026-06-23,760461,POR,Portugal,UZB,Uzbekistan,5,0,True,False,2035.8666,2060.559
2026-06-23,760461,UZB,Uzbekistan,POR,Portugal,0,5,True,False,1801.2404,1776.5481
2026-06-24,760462,BIH,Bosnia and Herzegovina,QAT,Qatar,3,1,True,False,1655.7802,1690.6892
2026-06-24,760462,QAT,Qatar,BIH,Bosnia and Herzegovina,1,3,True,False,1576.5233,1541.6142
2026-06-24,760463,CAN,Canada,SUI,Switzerland,1,2,False,True,1891.2574,1857.5047
2026-06-24,760463,SUI,Switzerland,CAN,Canada,2,1,False,False,1947.5672,1981.3199
2026-06-24,760464,HAI,Haiti,MAR,Morocco,2,4,True,False,1686.7767,1674.7748
2026-06-24,760464,MAR,Morocco,HAI,Haiti,4,2,True,False,2011.9095,2023.9114
2026-06-24,760465,BRA,Brazil,SCO,Scotland,3,0,True,False,2073.0841,2095.9643
2026-06-24,760465,SCO,Scotland,BRA,Brazil,0,3,True,False,1851.0894,1828.2092
2026-06-24,760466,KOR,South Korea,RSA,South Africa,0,1,True,False,1888.5568,1841.6267
