event_id,date,match_slug,team_code,team_espn_abbr,home_away,goals,opponent_goals,fouls,yellow_cards,red_cards,offsides,corners,saves,possession_pct,total_shots,shots_on_target,blocked_shots,passes,pass_pct,interceptions,effective_tackles,clearances,venue,venue_city
760432,2026-06-16,FRA-SEN,SEN,SEN,away,1,3,9,0,0,3,4,5,46.6,6,2,1,502,0.9,8,10,17,MetLife Stadium,"East Rutherford, New Jersey"
760433,2026-06-16,ARG-ALG,ARG,ARG,home,3,0,13,0,0,3,2,0,47.8,10,6,1,561,0.9,10,19,17,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri"
760433,2026-06-16,ARG-ALG,ALG,ALG,away,0,3,8,0,0,1,2,3,52.2,7,1,3,609,0.9,8,10,12,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri"
760431,2026-06-17,AUT-JOR,AUT,AUT,home,3,1,12,1,0,3,4,3,63.2,11,4,1,580,0.8,15,7,24,Levi's Stadium,"Santa Clara, California"
760431,2026-06-17,AUT-JOR,JOR,JOR,away,1,3,7,0,0,1,3,1,36.8,11,4,2,332,0.7,12,6,39,Levi's Stadium,"Santa Clara, California"
760434,2026-06-17,GHA-PAN,GHA,GHA,home,1,0,9,1,0,4,2,4,38.0,7,2,1,352,0.8,8,9,28,BMO Field,Toronto
760434,2026-06-17,GHA-PAN,PAN,PAN,away,0,1,11,2,0,1,2,2,62.0,11,4,2,583,0.9,5,11,17,BMO Field,Toronto
760435,2026-06-17,POR-CDR,POR,POR,home,1,1,9,3,0,3,5,1,75.4,7,1,2,783,0.9,3,6,10,NRG Stadium,"Houston, Texas"
760435,2026-06-17,POR-CDR,CDR,COD,away,1,1,10,1,0,2,4,0,24.6,8,2,3,249,0.8,5,9,27,NRG Stadium,"Houston, Texas"
760436,2026-06-17,UZB-COL,UZB,UZB,home,1,3,14,1,0,0,3,1,38.6,8,2,2,319,0.8,7,7,24,Estadio Banorte,Mexico City
760436,2026-06-17,UZB-COL,COL,COL,away,3,1,11,1,0,3,4,1,61.4,15,4,4,519,0.9,6,3,20,Estadio Banorte,Mexico City
760437,2026-06-17,ENG-CRO,ENG,ENG,home,4,2,10,0,0,0,8,3,51.7,22,11,5,474,0.9,7,7,16,AT&T Stadium,"Arlington, Texas"
760437,2026-06-17,ENG-CRO,CRO,CRO,away,2,4,12,0,0,1,2,7,48.3,10,5,2,443,0.9,9,8,17,AT&T Stadium,"Arlington, Texas"
