"match_id","competition_name","season_name","competition_stage","match_date","kick_off","referee_name","stadium_name","team_id","team_name","opponent_id","opponent_name","is_home","goals","opponent_goals","result","total_shots","shots_on_target","blocked_shots","xg_total","fouls_committed","fouls_won","yellow_cards","red_cards","corners","offsides","passes","passes_completed","pass_pct","clearances","interceptions"
"7585","FIFA World Cup 2018","2018","Round of 16","2018-07-03","18:00:00.000","Mark Geiger","Otkritie Bank Arena",768,"England",769,"Colombia",FALSE,1,1,"D",17,2,5,2.2443,13,22,2,0,7,0,605,477,78.8,22,5
"7569","FIFA World Cup 2018","2018","Group Stage","2018-06-28","18:00:00.000","Nawaf Abdulla Ghayyath Shukralla","Mordovia Arena",798,"Panama",777,"Tunisia",TRUE,1,2,"L",9,4,2,0.6908,20,19,1,0,0,0,291,202,69.4,24,15
"7569","FIFA World Cup 2018","2018","Group Stage","2018-06-28","18:00:00.000","Nawaf Abdulla Ghayyath Shukralla","Mordovia Arena",777,"Tunisia",798,"Panama",FALSE,2,1,"W",15,6,3,2.8525,20,18,3,0,6,1,648,547,84.4,2,13
"7572","FIFA World Cup 2018","2018","Group Stage","2018-06-28","14:00:00.000","Janny Sikazwe","Volgograd Arena",778,"Japan",789,"Poland",TRUE,0,1,"L",11,3,2,0.8906,12,9,1,0,5,0,587,491,83.6,17,3
"7572","FIFA World Cup 2018","2018","Group Stage","2018-06-28","14:00:00.000","Janny Sikazwe","Volgograd Arena",789,"Poland",778,"Japan",FALSE,1,0,"W",11,2,4,1.0407,9,12,0,0,7,0,499,400,80.2,13,6
"7561","FIFA World Cup 2018","2018","Group Stage","2018-06-26","18:00:00.000","Antonio Miguel Mateu Lahoz","Rostov Arena",793,"Iceland",785,"Croatia",TRUE,1,2,"L",17,6,4,2.1327,14,11,3,0,10,0,331,224,67.7,10,9
"7561","FIFA World Cup 2018","2018","Group Stage","2018-06-26","18:00:00.000","Antonio Miguel Mateu Lahoz","Rostov Arena",785,"Croatia",793,"Iceland",FALSE,2,1,"W",13,2,3,0.6739,13,13,1,0,5,0,535,451,84.3,25,7
"7540","FIFA World Cup 2018","2018","Group Stage","2018-06-19","18:00:00.000","Enrique Cáceres","Saint-Petersburg Stadium ( Gazprom Arena )",796,"Russia",774,"Egypt",TRUE,3,1,"W",12,4,3,0.9812,10,11,2,0,7,0,467,321,68.7,26,8
"7540","FIFA World Cup 2018","2018","Group Stage","2018-06-19","18:00:00.000","Enrique Cáceres","Saint-Petersburg Stadium ( Gazprom Arena )",774,"Egypt",796,"Russia",FALSE,1,3,"L",15,2,5,1.6975,11,9,1,0,4,0,484,360,74.4,22,13
"7531","FIFA World Cup 2018","2018","Group Stage","2018-06-16","13:00:00.000","Szymon Marciniak","Otkritie Bank Arena",779,"Argentina",793,"Iceland",TRUE,1,1,"D",28,7,12,2.0805,11,17,0,0,10,0,796,694,87.2,10,3
"7531","FIFA World Cup 2018","2018","Group Stage","2018-06-16","13:00:00.000","Szymon Marciniak","Otkritie Bank Arena",793,"Iceland",779,"Argentina",FALSE,1,1,"D",9,2,2,1.0321,17,9,0,0,2,0,224,137,61.2,20,28
"7570","FIFA World Cup 2018","2018","Group Stage","2018-06-28","18:00:00.000","Damir Skomina","Rostec Arena",768,"England",782,"Belgium",TRUE,0,1,"L",12,1,4,1.2007,14,15,0,0,7,0,514,432,84,3,6
