date,team,side,opponent,rest_days
1926-12-19,Hungary,away,Spain,35
1927-03-16,Portugal,home,France,80
1927-03-16,France,away,Portugal,269
1927-04-17,Spain,home,Switzerland,119
1927-04-17,Switzerland,away,Spain,77
1927-04-24,France,home,Italy,39
1927-04-24,Italy,away,France,7
1927-05-22,France,home,Spain,28
1927-05-22,Spain,away,France,35
1927-05-26,France,home,England,4
1927-05-26,England,away,France,5
1927-05-29,Italy,home,Spain,35
1927-05-29,Spain,away,Italy,7
1927-06-12,Hungary,home,France,49
1927-06-12,France,away,Hungary,17
1928-01-08,Portugal,home,Spain,266
1928-01-08,Spain,away,Portugal,224
1928-02-21,France,home,Northern Ireland,254
1928-02-21,Northern Ireland,away,France,17
1928-03-11,Switzerland,home,France,70
1928-03-11,France,away,Switzerland,19
1928-04-15,France,home,Belgium,35
1928-04-15,Belgium,away,France,14
1928-04-22,Spain,home,Italy,105
1928-04-22,Italy,away,Spain,7
1928-04-29,France,home,Portugal,14
1928-04-29,Portugal,away,France,14
1928-05-13,France,home,Czechoslovakia,14
1928-05-13,Czechoslovakia,away,France,21
1928-05-17,France,home,England,4
1928-05-17,England,away,France,47
1928-05-29,Italy,home,France,37
1928-05-29,France,away,Italy,12
1928-05-30,Spain,home,Mexico,38
1928-05-30,Mexico,away,Spain,1627
1928-06-01,Italy,home,Spain,3
1928-06-01,Spain,away,Italy,2
1928-06-04,Italy,home,Spain,3
1928-06-04,Spain,away,Italy,3
1929-02-24,France,home,Hungary,271
1929-02-24,Hungary,away,France,115
1929-03-17,Spain,home,Portugal,286
1929-03-17,Portugal,away,Spain,286
1929-03-24,France,home,Portugal,28
1929-03-24,Portugal,away,France,7
1929-04-14,Spain,home,France,28
1929-04-14,France,away,Spain,21
1929-05-09,France,home,England,25
1929-05-09,England,away,France,26
1929-05-15,Spain,home,England,31
1929-05-15,England,away,Spain,4
1929-05-19,France,home,Yugoslavia,10
1929-05-19,Yugoslavia,away,France,9
1929-05-26,Belgium,home,France,15
1929-05-26,France,away,Belgium,7
1930-01-01,Spain,home,Czechoslovakia,231
1930-01-01,Czechoslovakia,away,Spain,65
1930-02-23,Portugal,home,France,42
1930-02-23,France,away,Portugal,273
1930-03-23,France,home,Switzerland,28
1930-03-23,Switzerland,away,France,42
1930-04-13,France,home,Belgium,21
1930-04-13,Belgium,away,France,322
1930-05-11,France,home,Czechoslovakia,28
1930-05-11,Czechoslovakia,away,France,10
1930-05-18,France,home,Scotland,7
1930-05-18,Scotland,away,France,43
1930-05-25,Belgium,home,France,7
1930-05-25,France,away,Belgium,7
1930-06-14,Czechoslovakia,home,Spain,34
1930-06-14,Spain,away,Czechoslovakia,164
1930-06-22,Italy,home,Spain,42
1930-06-22,Spain,away,Italy,8
1930-07-13,France,home,Mexico,49
1930-07-13,Mexico,away,France,768
1930-07-15,Argentina,home,France,51
1930-07-15,France,away,Argentina,2
1930-07-19,Chile,home,France,3
1930-07-19,France,away,Chile,4
1930-08-01,Brazil,home,France,12
1930-08-01,France,away,Brazil,13
1930-11-30,Portugal,home,Spain,175
1930-11-30,Spain,away,Portugal,161
1930-12-07,France,home,Belgium,128
1930-12-07,Belgium,away,France,70
1931-01-25,Italy,home,France,217
1931-01-25,France,away,Italy,49
1931-02-15,France,home,Czechoslovakia,21
1931-02-15,Czechoslovakia,away,France,112
1931-03-15,France,home,Germany,28
1931-03-15,Germany,away,France,133
1931-04-19,Spain,home,Italy,140
1931-04-19,Italy,away,Spain,7
1931-04-26,Spain,home,Republic of Ireland,7
1931-04-26,Republic of Ireland,away,Spain,350
1931-05-14,France,home,England,60
1931-05-14,England,away,France,47
1931-11-29,France,home,Netherlands,199
1931-11-29,Netherlands,away,France,168
1931-12-09,England,home,Spain,21
1931-12-09,Spain,away,England,227
1931-12-13,Republic of Ireland,home,Spain,231
1931-12-13,Spain,away,Republic of Ireland,4
1932-03-20,Switzerland,home,France,14
1932-03-20,France,away,Switzerland,112
1932-04-10,France,home,Italy,21
1932-04-10,Italy,away,France,21
1932-04-24,Spain,home,Yugoslavia,133
1932-04-24,Yugoslavia,away,Spain,182
1932-05-01,Belgium,home,France,14
1932-05-01,France,away,Belgium,21
1932-05-08,France,home,Scotland,7
1932-05-08,Scotland,away,France,29
1932-06-05,Yugoslavia,home,France,7
1932-06-05,France,away,Yugoslavia,28
1932-06-09,Bulgaria,home,France,71
1932-06-09,France,away,Bulgaria,4
1932-06-12,Romania,home,France,196
1932-06-12,France,away,Romania,3
1933-02-12,France,home,Austria,245
1933-02-12,Austria,away,France,63
1933-03-19,Germany,home,France,77
1933-03-19,France,away,Germany,35
1933-03-26,France,home,Belgium,7
1933-03-26,Belgium,away,France,14
1933-04-02,Spain,home,Portugal,343
1933-04-02,Portugal,away,Spain,63
1933-04-23,France,home,Spain,28
1933-04-23,Spain,away,France,21
1933-04-30,Yugoslavia,home,Spain,203
1933-04-30,Spain,away,Yugoslavia,7
1933-05-21,Spain,home,Bulgaria,21
1933-05-21,Bulgaria,away,Spain,198
1933-05-25,France,home,Wales,32
1933-05-25,Wales,away,France,169
1933-06-10,Czechoslovakia,home,France,34
1933-06-10,France,away,Czechoslovakia,16
1933-12-06,England,home,France,21
1933-12-06,France,away,England,179
1934-01-21,Belgium,home,France,56
1934-01-21,France,away,Belgium,46
1934-02-02,Catalonia,home,Spain,1128
1934-02-02,Spain,away,Catalonia,257
1934-03-11,France,home,Switzerland,49
1934-03-11,Switzerland,away,France,98
1934-03-11,Spain,home,Portugal,37
1934-03-11,Portugal,away,Spain,343
1934-03-18,Portugal,home,Spain,7
1934-03-18,Spain,away,Portugal,7
1934-03-25,France,home,Czechoslovakia,14
1934-03-25,Czechoslovakia,away,France,161
1934-04-15,Luxembourg,home,France,35
1934-04-15,France,away,Luxembourg,21
1934-05-10,Netherlands,home,France,11
1934-05-10,France,away,Netherlands,25
1934-05-27,Austria,home,France,32
1934-05-27,France,away,Austria,17
1934-05-27,Brazil,home,Spain,539
1934-05-27,Spain,away,Brazil,70
1934-05-31,Italy,home,Spain,4
1934-05-31,Spain,away,Italy,4
1934-06-01,Italy,home,Spain,1
1934-06-01,Spain,away,Italy,1
1934-12-16,France,home,Yugoslavia,203
1934-12-16,Yugoslavia,away,France,105
1935-01-24,Spain,home,France,237
1935-01-24,France,away,Spain,39
1935-02-17,Italy,home,France,70
1935-02-17,France,away,Italy,24
1935-03-17,France,home,Germany,28
1935-03-17,Germany,away,France,28
1935-04-14,Belgium,home,France,14
1935-04-14,France,away,Belgium,28
1935-05-05,Portugal,home,Spain,413
1935-05-05,Spain,away,Portugal,101
1935-05-12,Germany,home,Spain,4
1935-05-12,Spain,away,Germany,7
1935-05-19,France,home,Hungary,35
1935-05-19,Hungary,away,France,7
1935-10-27,Switzerland,home,France,150
1935-10-27,France,away,Switzerland,161
1935-11-10,France,home,Sweden,14
1935-11-10,Sweden,away,France,49
1936-01-12,France,home,Netherlands,63
1936-01-12,Netherlands,away,France,35
1936-01-19,Spain,home,Austria,252
1936-01-19,Austria,away,Spain,105
1936-02-09,France,home,Czechoslovakia,28
1936-02-09,Czechoslovakia,away,France,105
1936-02-23,Spain,home,Germany,35
1936-02-23,Germany,away,Spain,81
1936-03-08,France,home,Belgium,28
1936-03-08,Belgium,away,France,21
1936-05-03,Switzerland,home,Spain,28
1936-05-03,Spain,away,Switzerland,70
1936-12-13,France,home,Yugoslavia,280
1936-12-13,Yugoslavia,away,France,98
1937-01-24,France,home,Austria,42
1937-01-24,Austria,away,France,77
1937-02-21,Belgium,home,France,273
1937-02-21,France,away,Belgium,28
1937-03-21,Germany,home,France,49
1937-03-21,France,away,Germany,28
1937-05-23,France,home,Republic of Ireland,63
1937-05-23,Republic of Ireland,away,France,6
1937-10-10,France,home,Switzerland,140
1937-10-10,Switzerland,away,France,21
1937-10-31,Netherlands,home,France,182
1937-10-31,France,away,Netherlands,21
1937-11-28,Spain,home,Portugal,574
1937-11-28,Portugal,away,Spain,640
1937-12-05,France,home,Italy,35
1937-12-05,Italy,away,France,35
1938-01-30,France,home,Belgium,56
1938-01-30,Belgium,away,France,234
1938-01-30,Portugal,home,Spain,21
1938-01-30,Spain,away,Portugal,63
1938-03-24,France,home,Bulgaria,53
1938-03-24,Bulgaria,away,France,137
1938-05-26,France,home,England,63
1938-05-26,England,away,France,5
1938-06-05,France,home,Belgium,10
1938-06-05,Belgium,away,France,7
1938-06-12,France,home,Italy,7
1938-06-12,Italy,away,France,7
1938-12-04,Italy,home,France,14
1938-12-04,France,away,Italy,175
1939-01-22,France,home,Poland,49
1939-01-22,Poland,away,France,70
1939-03-16,France,home,Hungary,53
1939-03-16,Hungary,away,France,18
1939-05-18,Belgium,home,France,4
1939-05-18,France,away,Belgium,63
1939-05-20,France,home,Wales,2
1939-05-20,Wales,away,France,66
1940-01-28,France,home,Portugal,253
1940-01-28,Portugal,away,France,350
1941-01-12,Portugal,home,Spain,350
1941-01-12,Spain,away,Portugal,1078
1941-03-16,Spain,home,Portugal,63
1941-03-16,Portugal,away,Spain,63
1941-12-28,Spain,home,Switzerland,287
1941-12-28,Switzerland,away,Spain,42
1942-03-08,France,home,Switzerland,770
1942-03-08,Switzerland,away,France,35
1942-03-15,Spain,home,France,77
1942-03-15,France,away,Spain,7
1942-04-12,Germany,home,Spain,70
1942-04-12,Spain,away,Germany,28
1942-04-19,Italy,home,Spain,14
1942-04-19,Spain,away,Italy,7
1944-12-24,France,home,Belgium,1015
1944-12-24,Belgium,away,France,1708
1945-03-11,Portugal,home,Spain,1165
1945-03-11,Spain,away,Portugal,1057
1945-04-08,Switzerland,home,France,664
1945-04-08,France,away,Switzerland,105
1945-05-06,Spain,home,Portugal,56
1945-05-06,Portugal,away,Spain,56
1945-05-26,England,home,France,2194
1945-05-26,France,away,England,48
1945-12-06,Austria,home,France,108
1945-12-06,France,away,Austria,194
1945-12-15,Belgium,home,France,216
1945-12-15,France,away,Belgium,9
1946-04-07,France,home,Czechoslovakia,113
1946-04-07,Czechoslovakia,away,France,2338
1946-04-14,Portugal,home,France,328
1946-04-14,France,away,Portugal,7
1946-05-05,France,home,Austria,21
1946-05-05,Austria,away,France,21
1946-05-19,France,home,England,14
1946-05-19,England,away,France,8
1946-06-23,Spain,home,Republic of Ireland,413
1946-06-23,Republic of Ireland,away,Spain,7
1947-01-26,Portugal,home,Spain,21
1947-01-26,Spain,away,Portugal,217
1947-03-02,Republic of Ireland,home,Spain,153
1947-03-02,Spain,away,Republic of Ireland,35
1947-03-23,France,home,Portugal,308
1947-03-23,Portugal,away,France,56
1947-05-03,England,home,France,21
1947-05-03,France,away,England,41
1947-05-26,France,home,Netherlands,23
1947-05-26,Netherlands,away,France,22
1947-06-01,France,home,Belgium,6
1947-06-01,Belgium,away,France,14
1947-06-08,Switzerland,home,France,21
1947-06-08,France,away,Switzerland,7
1947-10-19,Catalonia,home,Spain,4865
1947-10-19,Spain,away,Catalonia,231
1947-11-23,Portugal,home,France,182
1947-11-23,France,away,Portugal,168
1948-03-21,Spain,home,Portugal,154
1948-03-21,Portugal,away,Spain,119
1948-04-04,France,home,Italy,133
1948-04-04,Italy,away,France,112
1948-05-23,France,home,Scotland,49
1948-05-23,Scotland,away,France,6
1948-05-30,Spain,home,Republic of Ireland,70
1948-05-30,Republic of Ireland,away,Spain,7
1948-06-06,Belgium,home,France,39
1948-06-06,France,away,Belgium,14
1948-06-12,Czechoslovakia,home,France,20
1948-06-12,France,away,Czechoslovakia,6
1948-06-20,Switzerland,home,Spain,34
1948-06-20,Spain,away,Switzerland,21
1948-10-17,France,home,Belgium,127
1948-10-17,Belgium,away,France,133
1949-01-02,Spain,home,Belgium,196
1949-01-02,Belgium,away,Spain,42
1949-03-20,Portugal,home,Spain,21
1949-03-20,Spain,away,Portugal,77
1949-03-27,Spain,home,Italy,7
1949-03-27,Italy,away,Spain,28
1949-04-23,Netherlands,home,France,41
1949-04-23,France,away,Netherlands,188
1949-04-27,Scotland,home,France,18
1949-04-27,France,away,Scotland,4
1949-05-22,France,home,England,25
1949-05-22,England,away,France,4
1949-06-04,France,home,Switzerland,13
1949-06-04,Switzerland,away,France,9
1949-06-12,Republic of Ireland,home,Spain,10
1949-06-12,Spain,away,Republic of Ireland,77
1949-06-19,France,home,Spain,15
1949-06-19,Spain,away,France,7
1949-10-09,Yugoslavia,home,France,21
