match_id,date,actual,lambda_hier,lambda_baseline,threshold,nll_hier,nll_baseline,nll_global,brier_hier,brier_baseline
760416,2026-06-12,7.0,7.213165230068849,6.925,7,1.9069715674976901,1.904194996551598,1.904194996551598,0.17510535948312178,0.21247033528002918
760417,2026-06-12,7.0,7.273151307826479,7.475213675213681,7,1.9089850138779525,1.9192261070116423,1.9037903176782223,0.16797995917121028,0.1455817861876165
760418,2026-06-13,4.0,7.261109360089931,7.74242424242424,8,2.5090327041042784,2.7336186800630697,2.3944132341266915,0.193714654477939,0.26065644644507496
760419,2026-06-13,8.0,8.257009708795099,9.78080808080808,10,1.9731126014557265,2.142034131690167,2.270527148920811,0.09968718346753137,0.2645710687302319
760420,2026-06-13,10.0,7.54229069157464,6.65843531468532,7,2.441443853359946,2.8040026956091566,2.8863908040596016,0.13867978682254142,0.25174171809706725
760421,2026-06-14,12.0,6.83019308752236,6.894444444444449,7,3.7611722589741667,3.713067728333563,3.4982421833977675,0.22591655350094325,0.21674114719438098
760422,2026-06-14,14.0,9.423137222634441,9.624242424242428,10,3.210005402420311,3.1154712562900997,4.079039599220984,0.2828512639451216,0.2557638257059362
760423,2026-06-14,5.0,7.2265030015423,7.65833333333334,8,2.125218543030238,2.266853178247178,2.738513419976014,0.18922083595932251,0.24842342664523004
760424,2026-06-14,9.0,7.39605075243385,7.609090909090909,8,2.189362651686835,2.1468250468988437,2.049567780681297,0.291508034318888,0.25879637878307077
760425,2026-06-14,9.0,6.7802122874820405,7.328205128205131,7,2.3559640568618043,2.2044570339915097,2.0446930579749054,0.233236872543708,0.16163420394249137
760426,2026-06-15,6.0,7.90360954665665,7.557589285714281,8,2.078943400083249,2.0015269269953997,2.2388542310324766,0.2846279166757764,0.23404369138273629
760427,2026-06-15,12.0,7.39019002710752,6.85974025974026,7,3.3755631381638445,3.7389198192899684,2.904370963767402,0.15470887995074248,0.22166425012643898
760428,2026-06-15,8.0,9.74210723582494,8.17417582417583,8,2.1350505953559953,1.9709395662298537,1.9893575285455007,0.05970905994188381,0.18397583716898686
760429,2026-06-15,13.0,8.02982377402847,7.21978021978022,7,3.5008740641584986,4.073225417322753,3.2110744215245965,0.09594212061210432,0.174308728683651
760430,2026-06-16,6.0,8.57430613142948,7.86111111111112,8,2.2609369104769232,2.0687945679984487,2.3490486532142896,0.38932099002123605,0.2782455619554653
760432,2026-06-16,10.0,8.78892553236418,7.957175925925931,8,2.15841343819727,2.3208469616942757,2.176236746208458,0.12193330584360201,0.21063904960737426
760433,2026-06-16,7.0,9.84552064563162,9.22135416666667,9,2.361565841962321,2.1958622310628453,2.0917854584787534,0.421876631527827,0.3284820428400099
760431,2026-06-17,8.0,8.02499462429187,7.85714285714286,8,1.9691095338716558,1.9703614704708468,1.9939077844944997,0.20202991578333312,0.22379831621978036
760434,2026-06-17,6.0,8.35245318792019,7.16071428571428,7,2.1963726558864263,1.928307078295867,2.27204216898272,0.5296277038601926,0.32941946271324524
760435,2026-06-17,3.0,8.45836084762589,8.11734693877551,8,3.8446541120244295,3.627096300681757,3.854547522300303,0.370874051471512,0.31730199757999045
760436,2026-06-17,6.0,7.89132876216407,7.44444444444445,7,2.075992784580629,1.9788874041260662,2.154446286388856,0.4531624074093118,0.377251363826178
760437,2026-06-17,16.0,8.30477491615745,8.20168067226891,8,5.107344774408176,5.204115285524569,5.306682212089349,0.16915709101158347,0.18077889332141375
760438,2026-06-18,7.0,7.95631681209958,7.5460526315789505,8,1.9637149080952678,1.9240418186627029,2.0367772731266705,0.2926000085981149,0.23241732386282635
760439,2026-06-18,10.0,8.02567151803299,7.5328947368421,8,2.3036306533603828,2.4445133584969803,2.2237571911442426,0.2019452581960656,0.2702184119034689
760440,2026-06-18,10.0,7.6748226897944996,6.3640350877193,6,2.399783353875087,2.9618214214973424,2.2112244194704314,0.0496710141749185,0.15140787036177555
760441,2026-06-18,6.0,8.511103305814789,8.175101214574891,8,2.2421250237936707,2.1477938404184282,2.244753166962754,0.37925702092141744,0.326271872476868
760442,2026-06-19,4.0,7.796710406827071,6.994304733727811,7,2.759956629084628,2.3919737303635964,3.0772299862447925,0.43714760054290547,0.3018843013976664
760443,2026-06-19,7.0,7.95227598710682,8.054487179487179,8,1.9632301205113016,1.9760430924138266,2.005076282134146,0.2919866926798061,0.3076018100822208
760444,2026-06-19,8.0,10.57183221023044,10.27704326923077,10,2.3108901092255625,2.242345380520822,1.9718902270470338,0.3736627863792893,0.332025961891616
760445,2026-06-19,2.0,7.43996468887555,6.65204326923077,7,4.119379664005775,3.5553423177817747,4.6900940449140816,0.37649077598080233,0.24727575263926613
760446,2026-06-20,18.0,8.007772457207519,7.08333333333333,7,6.955790376097841,8.2393756207247,6.965497457796012,0.09760993430128177,0.19129208725748614
760447,2026-06-20,15.0,7.6508397519091,8.09090909090909,8,5.027879936169281,4.629064020743446,4.437266322455116,0.2526710046031992,0.19390357591535243
760448,2026-06-20,9.0,9.23237453111027,10.20833333333334,10,2.0297555115561075,2.1013213916437685,2.039454448614368,0.1964069269164588,0.3224521698117225
760449,2026-06-21,5.0,8.92219513746868,7.252483201869699,7,2.7669768404466915,2.1332553405220747,2.605948740878425,0.6178584557104738,0.3447950445665532
760450,2026-06-21,6.0,8.39791861608548,7.734589541338,8,2.2092664800169235,2.039626248333983,2.2216975357375777,0.3612901401265119,0.2595083289015569
760451,2026-06-21,10.0,7.55802616197377,7.36451942740287,7,2.43633807089342,2.5021940312397124,2.227595669227549,0.13709823206545704,0.15754895191317492
760452,2026-06-21,12.0,7.99597001244101,7.82924335378323,8,3.035932512369847,3.122067396505443,2.8413147576894424,0.20568354964933455,0.2275665205115709
760453,2026-06-21,9.0,9.36122223240303,7.883435582822091,8,2.0338669513384247,2.1023888942005335,2.040448457962304,0.08026949314306406,0.2202862723437081
760454,2026-06-22,11.0,7.87800187440115,7.58470695970696,8,2.6754923930253973,2.7995410490196413,2.453892718622189,0.2210089645085415,0.2624176064962995
760455,2026-06-22,12.0,7.88251193072546,7.4404761904762,7,3.0939669143010207,3.3444724754210142,2.770131457060433,0.10754050730088467,0.1492592129625417
760456,2026-06-22,6.0,9.24047062370858,9.31267507002802,9,2.478164929768699,2.5036679840677216,2.291579257012563,0.33129473122708797,0.3419597967139031
760457,2026-06-22,5.0,9.78000719953093,8.06130952380953,8,3.1657978413389163,2.413421190301241,2.6327678891980764,0.5765454445277673,0.30865122951342966
760458,2026-06-23,4.0,10.25708113702455,8.19799741602067,8,4.123261728576366,2.9604916188254604,3.1304098816881405,0.6432840491867647,0.3298418711149451
760459,2026-06-23,10.0,7.988446264024979,7.22790697674419,7,2.3128960291364464,2.5528245218203978,2.218576262916219,0.0990911495394003,0.17333373848511668
760460,2026-06-23,3.0,7.98578170475382,7.53213824289406,8,3.5445531534043,3.266360818017237,3.842192262708853,0.2970825009356528,0.23046150779365865
760461,2026-06-23,11.0,7.871377963852149,7.6327519379845,8,2.6781212938357672,2.7781267935784033,2.5127422810062203,0.22189214987380285,0.2553132416568667
760462,2026-06-24,8.0,7.62617989197401,6.565990259740261,7,1.978086391091221,2.1153664773702108,1.9783394667654512,0.13041069215688086,0.26641977896393115
760463,2026-06-24,11.0,7.57522815609317,7.86685606060606,8,2.8038178258278865,2.679920422161384,2.4970501858115153,0.2638339462492414,0.22249645318268665
760464,2026-06-24,13.0,8.05376551772726,6.53132161955691,7,3.4861126437400713,4.687564380556619,3.2647451225409974,0.09415795493111444,0.27206348602909247
760465,2026-06-24,14.0,8.981413839631351,9.69098548510313,10,3.4404326391477156,3.085460960115004,3.7105775458388237,0.3479313513557355,0.2471447759558707
760466,2026-06-24,7.0,8.64848569669222,7.74310064935065,8,2.0719573661930326,1.9406465538987625,2.070343281353665,0.40114940766933793,0.2607556473410176
760467,2026-06-24,6.0,8.137303534110341,7.81452922077922,8,2.137801562303183,2.057872103215728,2.271051667159931,0.32039554912693907,0.2712995494677239
760468,2026-06-25,6.0,9.07875790684602,11.077324598478441,11,2.422384785721462,3.2271746709010305,2.2559601381935313,0.09204584767516537,0.3017404170711001
760469,2026-06-25,7.0,7.43783192537538,6.34831240188383,6,1.9169374969560478,1.9361506642466813,2.046367341675669,0.061656169668357394,0.1532498799485726
760470,2026-06-25,10.0,8.14337931236547,8.431925217639499,8,2.2757394574088057,2.2160865618759473,2.207042679057892,0.18760385083358527,0.15559849625798358
760471,2026-06-25,8.0,8.80266946083424,8.52715201465201,9,2.0068321771348074,1.9857115010024824,1.9846129263547532,0.2684047963821382,0.23100091158767996
760472,2026-06-25,11.0,8.632245737290571,7.30749859115244,7,2.4240019301775497,2.931895159732763,2.461580047414909,0.058736876812337926,0.1639993068314677
760473,2026-06-25,5.0,8.3257990036112,7.273940345368921,7,2.5164957080391464,2.1399413608780513,2.6052871156646553,0.5253060867270367,0.34840565958756275
760474,2026-06-26,13.0,7.91976955359805,6.48860182370821,6,3.5702259944652717,4.730153740541159,3.240458296516522,0.03948030201844151,0.13741834197184352
760475,2026-06-26,13.0,8.22831242588756,9.18034447821682,9,3.3819240313139254,2.91066685708871,3.2002130772164,0.3143980507234814,0.18674505782230924
760476,2026-06-26,7.0,7.45947866887459,6.66751227495908,7,1.9182413322262182,1.9119459094219842,2.069079934137072,0.14723877139014876,0.250329762707298
760477,2026-06-26,12.0,8.64771275757916,9.17414625424638,9,2.7473888745700066,2.564688690274714,2.7634790916913126,0.25289775797361536,0.18743668893809498
760478,2026-06-26,5.0,7.89386443735569,6.79050736497545,7,2.3509271590271403,2.000370801951134,2.6544635180438263,0.4535905898875781,0.2689782971769955
760479,2026-06-26,2.0,8.13245229784986,8.8595744680851,9,4.633874450952362,5.1897241785835355,4.9920592336383205,0.1814202115984995,0.2763673955847871
760480,2026-06-27,5.0,8.4959242196059,7.2047619047619005,7,2.5854832377784884,2.118542732189514,2.587160925300692,0.5526249447405285,0.33678519057464257
760481,2026-06-27,8.0,7.61788639653366,8.40340909090909,8,1.978497655760565,1.9789122522731564,1.9810673759879478,0.2574980567812306,0.1585656721550166
760482,2026-06-27,5.0,7.69434431757389,6.714285714285721,7,2.2794082865155527,1.9805901937940362,2.5623331926716926,0.41975998300102035,0.25695826261682525
760483,2026-06-27,5.0,10.77528224969349,9.33333333333333,9,3.6764998399061515,2.9528639685799085,2.5415052917609575,0.5586799830475273,0.3450223039227679
760484,2026-06-27,8.0,7.87208421523432,7.71428571428571,8,1.9701042558500195,1.9742974369592758,1.9760254084497362,0.2217978684853949,0.24354364809724896
760485,2026-06-27,8.0,8.7874393487569,7.87894736842105,8,2.0054554105238758,1.9699957730931672,1.9758279464778568,0.12206050394382975,0.22088309565699576
760486,2026-06-28,8.0,8.06599600816791,7.90752840909091,8,1.969341298473676,1.9696091608929507,1.9756387769076138,0.19694714369283498,0.21710143070818094
760487,2026-06-29,9.0,8.7277228592244,10.52150704809287,11,2.0310098846762337,2.142541455029873,2.0535458787702527,0.06877891790571448,0.23224580908355774
760488,2026-06-29,7.0,7.44287612921473,7.7373070544712395,8,1.9172360357237768,1.940092506559088,2.0166499409981125,0.21806879489676878,0.25990637047690757
760489,2026-06-29,9.0,8.45207394285788,9.24586886993604,9,2.0441947884288467,2.030104762032714,2.05427182403219,0.2805866201094724,0.17954509017096085
760490,2026-06-30,9.0,7.9357122450257,8.10049019607844,8,2.0951817362068272,2.074996475225273,2.0535149714416416,0.21341626646042813,0.19274207642099553
760491,2026-06-30,4.0,7.84215140089192,8.59667260843732,9,2.782152390852171,3.169225549199804,3.0303330188809143,0.14855679836525107,0.2402452692750738
760492,2026-06-30,15.0,9.76383739613123,9.49849170437406,9,3.4828262952007947,3.630767817601402,4.474618427102932,0.12962062178818695,0.15367126525957098
760493,2026-07-01,10.0,8.31433550484495,8.83853998926462,9,2.238936135726645,2.151735528102579,2.2291158942051794,0.30113618157843186,0.22763252641167642
760494,2026-07-01,5.0,8.30658012693838,7.86493558776167,8,2.508831934262714,2.3403555968177425,2.540114503559396,0.3468670683495128,0.2788181841066551
760495,2026-07-01,9.0,8.63406121522082,8.016545893719801,8,2.034453811161283,2.084804590961774,2.0521184936608314,0.13575947920658546,0.203088688642531
760496,2026-07-02,9.0,7.563065548171171,8.08059587471352,8,2.155403594141923,2.077232804636086,2.051473630316588,0.2656583873953273,0.19515941275789733
760497,2026-07-02,10.0,8.00086444639712,7.991071428571431,8,2.3097811030539503,2.312235531849332,2.2302160820351773,0.2050642022970699,0.206304736243514
760498,2026-07-02,7.0,7.8452395874345795,8.24107142857143,8,1.9510524674570364,2.0023202471825385,2.0239048268465467,0.2758729359232399,0.33657780004367044
760499,2026-07-03,4.0,7.520893489528969,6.7417555840091,7,2.6282075358739894,2.286527960708727,3.044974202639648,0.3902448985467824,0.2612702351968802
760500,2026-07-03,15.0,10.61541950338679,8.63398813936249,9,3.0800766736097316,4.197661671912325,4.447760634578813,0.07178505359575997,0.25478169632489556
760501,2026-07-03,8.0,9.057139274384479,7.33681889315692,7,2.0333156426089527,1.998178952849921,1.9781968854710605,0.040652828070168845,0.1606579855214193
760502,2026-07-04,7.0,8.00822745047089,7.94455612410657,8,1.9701026999276667,1.9623089762584973,2.0248394040778823,0.30050903085865743,0.2908159393694141
760503,2026-07-04,6.0,8.85661546516117,8.24333512256217,8,2.348878537405559,2.1661562750714154,2.2007097267115103,0.43434048221094385,0.3369324779351022
760504,2026-07-05,9.0,8.86468839031232,11.17753098342186,11,2.027833775231276,2.2542080538935814,2.0521866437637772,0.07733541296613843,0.3148618077282881
760505,2026-07-05,10.0,7.895615870497441,8.75937909567497,9,2.3369519202937568,2.1625414392797673,2.232130429960895,0.3685881757299811,0.2379021605287664
760506,2026-07-06,8.0,7.51728991739423,8.93594028520499,9,1.9842473026767866,2.019892153971295,1.9772251096548903,0.11587803743900477,0.2871648376154165
760507,2026-07-06,9.0,8.130855700486551,8.6370997423629,9,2.071687648466865,2.0343255859781415,2.050500180615307,0.32980683234588626,0.2543537948424423
760508,2026-07-07,5.0,7.68819212977505,8.60034242387184,9,2.277255561450266,2.628824070673483,2.5340472711799062,0.13250927124968145,0.24073708614634529
760509,2026-07-07,9.0,9.2042949855757,9.00300300300301,9,2.0290904732874573,2.0268067849455758,2.0527889876139813,0.18408969997910388,0.20725894315187285
760510,2026-07-09,9.0,8.22095447317626,8.675,9,2.0626050886897147,2.0328195475851594,2.052224869272722,0.3155473208187334,0.2491786167870007
760511,2026-07-10,10.0,8.15810561537017,9.79006172839507,10,2.2723983179983716,2.080796683747657,2.232317693785074,0.4855628689474271,0.2346965764082436
760512,2026-07-11,12.0,8.16123172503857,9.27755430410298,9,2.9557049693331017,2.5335931927938837,2.863719559248114,0.32496113598098814,0.17613631653904144
760513,2026-07-11,12.0,8.31145797108579,9.51929695181907,10,2.8870519716002576,2.466659489751901,2.8475507344822297,0.4587433609017321,0.2696918690558263
