date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,data_source
1956-08-15,Paraguay,Argentina,0,1,Copa Chevallier Boutell,Asunción,Paraguay,FALSE,data/international_results/results.csv
1956-08-19,Argentina,Czechoslovakia,1,0,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1956-10-06,Northern Ireland,England,1,1,British Home Championship,Belfast,Northern Ireland,FALSE,data/international_results/results.csv
1956-10-10,Uruguay,Argentina,1,2,Friendly,Paysandú,Uruguay,FALSE,data/international_results/results.csv
1956-11-14,Argentina,Uruguay,2,2,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1956-11-14,England,Wales,3,1,British Home Championship,London,England,FALSE,data/international_results/results.csv
1956-11-28,England,Yugoslavia,3,0,Friendly,London,England,FALSE,data/international_results/results.csv
1956-12-05,England,Denmark,5,2,FIFA World Cup qualification,Wolverhampton,England,FALSE,data/international_results/results.csv
1957-03-13,Argentina,Colombia,8,2,Copa América,Lima,Peru,TRUE,data/international_results/results.csv
1957-03-17,Argentina,Ecuador,3,0,Copa América,Lima,Peru,TRUE,data/international_results/results.csv
1957-03-20,Argentina,Uruguay,4,0,Copa América,Lima,Peru,TRUE,data/international_results/results.csv
1957-03-28,Argentina,Chile,6,2,Copa América,Lima,Peru,TRUE,data/international_results/results.csv
1957-04-03,Argentina,Brazil,3,0,Copa América,Lima,Peru,TRUE,data/international_results/results.csv
1957-04-06,England,Scotland,2,1,British Home Championship,London,England,FALSE,data/international_results/results.csv
1957-04-06,Peru,Argentina,2,1,Copa América,Lima,Peru,FALSE,data/international_results/results.csv
1957-04-09,Peru,Argentina,1,4,Friendly,Lima,Peru,FALSE,data/international_results/results.csv
1957-05-08,England,Republic of Ireland,5,1,FIFA World Cup qualification,London,England,FALSE,data/international_results/results.csv
1957-05-15,Denmark,England,1,4,FIFA World Cup qualification,Copenhagen,Denmark,FALSE,data/international_results/results.csv
1957-05-19,Republic of Ireland,England,1,1,FIFA World Cup qualification,Dublin,Republic of Ireland,FALSE,data/international_results/results.csv
1957-05-23,Uruguay,Argentina,0,0,Copa Newton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1957-06-05,Argentina,Uruguay,1,1,Copa Lipton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1957-07-07,Brazil,Argentina,1,2,Copa Roca,Rio de Janeiro,Brazil,FALSE,data/international_results/results.csv
1957-07-10,Brazil,Argentina,2,0,Copa Roca,São Paulo,Brazil,FALSE,data/international_results/results.csv
1957-10-06,Bolivia,Argentina,2,0,FIFA World Cup qualification,La Paz,Bolivia,FALSE,data/international_results/results.csv
1957-10-13,Chile,Argentina,0,2,FIFA World Cup qualification,Santiago,Chile,FALSE,data/international_results/results.csv
1957-10-19,Wales,England,0,4,British Home Championship,Cardiff,Wales,FALSE,data/international_results/results.csv
1957-10-20,Argentina,Chile,4,0,FIFA World Cup qualification,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1957-10-27,Argentina,Bolivia,4,0,FIFA World Cup qualification,Avellaneda,Argentina,FALSE,data/international_results/results.csv
1957-11-06,England,Northern Ireland,2,3,British Home Championship,London,England,FALSE,data/international_results/results.csv
1957-11-27,England,France,4,0,Friendly,London,England,FALSE,data/international_results/results.csv
1958-04-06,Uruguay,Argentina,1,0,Friendly,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1958-04-19,Scotland,England,0,4,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1958-04-20,Paraguay,Argentina,1,0,Friendly,Asunción,Paraguay,FALSE,data/international_results/results.csv
1958-04-26,Argentina,Paraguay,2,0,Friendly,Avellaneda,Argentina,FALSE,data/international_results/results.csv
1958-04-30,Argentina,Uruguay,2,0,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1958-05-07,England,Portugal,2,1,Friendly,London,England,FALSE,data/international_results/results.csv
1958-05-11,Yugoslavia,England,5,0,Friendly,Belgrade,Yugoslavia,FALSE,data/international_results/results.csv
1958-05-18,Russia,England,1,1,Friendly,Moscow,Soviet Union,FALSE,data/international_results/results.csv
1958-06-08,Argentina,Germany,1,3,FIFA World Cup,Malmö,Sweden,TRUE,data/international_results/results.csv
1958-06-08,England,Russia,2,2,FIFA World Cup,Gothenburg,Sweden,TRUE,data/international_results/results.csv
1958-06-11,Argentina,Northern Ireland,3,1,FIFA World Cup,Halmstad,Sweden,TRUE,data/international_results/results.csv
1958-06-11,Brazil,England,0,0,FIFA World Cup,Gothenburg,Sweden,TRUE,data/international_results/results.csv
1958-06-15,Argentina,Czechoslovakia,1,6,FIFA World Cup,Helsingborg,Sweden,TRUE,data/international_results/results.csv
1958-06-15,Austria,England,2,2,FIFA World Cup,Borås,Sweden,TRUE,data/international_results/results.csv
1958-06-17,England,Russia,0,1,FIFA World Cup,Gothenburg,Sweden,TRUE,data/international_results/results.csv
1958-10-04,Northern Ireland,England,3,3,British Home Championship,Belfast,Northern Ireland,FALSE,data/international_results/results.csv
1958-10-22,England,Russia,5,0,Friendly,London,England,FALSE,data/international_results/results.csv
1958-11-26,England,Wales,2,2,British Home Championship,Birmingham,England,FALSE,data/international_results/results.csv
1959-03-07,Argentina,Chile,6,1,Copa América,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1959-03-11,Argentina,Bolivia,2,0,Copa América,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1959-03-18,Argentina,Peru,3,1,Copa América,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1959-03-22,Argentina,Paraguay,3,1,Copa América,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1959-03-30,Argentina,Uruguay,4,1,Copa América,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1959-04-04,Argentina,Brazil,1,1,Copa América,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1959-04-11,England,Scotland,1,0,British Home Championship,London,England,FALSE,data/international_results/results.csv
1959-05-06,England,Italy,2,2,Friendly,London,England,FALSE,data/international_results/results.csv
1959-05-13,Brazil,England,2,0,Friendly,Rio de Janeiro,Brazil,FALSE,data/international_results/results.csv
1959-05-17,Peru,England,4,1,Friendly,Lima,Peru,FALSE,data/international_results/results.csv
1959-05-24,Mexico,England,2,1,Friendly,Mexico City,Mexico,FALSE,data/international_results/results.csv
1959-05-28,United States,England,1,8,Friendly,Los Angeles,United States,FALSE,data/international_results/results.csv
1959-10-17,Wales,England,1,1,British Home Championship,Cardiff,Wales,FALSE,data/international_results/results.csv
1959-10-28,England,Sweden,2,3,Friendly,London,England,FALSE,data/international_results/results.csv
