date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,data_source
1872-11-30,Scotland,England,0,0,Friendly,Glasgow,Scotland,FALSE,data/international_results/results.csv
1873-03-08,England,Scotland,4,2,Friendly,London,England,FALSE,data/international_results/results.csv
1874-03-07,Scotland,England,2,1,Friendly,Glasgow,Scotland,FALSE,data/international_results/results.csv
1875-03-06,England,Scotland,2,2,Friendly,London,England,FALSE,data/international_results/results.csv
1876-03-04,Scotland,England,3,0,Friendly,Glasgow,Scotland,FALSE,data/international_results/results.csv
1877-03-03,England,Scotland,1,3,Friendly,London,England,FALSE,data/international_results/results.csv
1878-03-02,Scotland,England,7,2,Friendly,Glasgow,Scotland,FALSE,data/international_results/results.csv
1879-01-18,England,Wales,2,1,Friendly,London,England,FALSE,data/international_results/results.csv
1879-04-05,England,Scotland,5,4,Friendly,London,England,FALSE,data/international_results/results.csv
1880-03-13,Scotland,England,5,4,Friendly,Glasgow,Scotland,FALSE,data/international_results/results.csv
1880-03-15,Wales,England,2,3,Friendly,Wrexham,Wales,FALSE,data/international_results/results.csv
1881-02-26,England,Wales,0,1,Friendly,Blackburn,England,FALSE,data/international_results/results.csv
1881-03-12,England,Scotland,1,6,Friendly,London,England,FALSE,data/international_results/results.csv
1882-02-18,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,FALSE,data/international_results/results.csv
1882-03-11,Scotland,England,5,1,Friendly,Glasgow,Scotland,FALSE,data/international_results/results.csv
1882-03-13,Wales,England,5,3,Friendly,Wrexham,Wales,FALSE,data/international_results/results.csv
1883-02-03,England,Wales,5,0,Friendly,London,England,FALSE,data/international_results/results.csv
1883-02-24,England,Northern Ireland,7,0,Friendly,Liverpool,England,FALSE,data/international_results/results.csv
1883-03-10,England,Scotland,2,3,Friendly,Sheffield,England,FALSE,data/international_results/results.csv
1884-02-23,Northern Ireland,England,1,8,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1884-03-15,Scotland,England,1,0,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1884-03-17,Wales,England,0,4,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1885-02-28,England,Northern Ireland,4,0,British Home Championship,Manchester,England,FALSE,data/international_results/results.csv
1885-03-14,England,Wales,1,1,British Home Championship,Blackburn,England,FALSE,data/international_results/results.csv
1885-03-21,England,Scotland,1,1,British Home Championship,London,England,FALSE,data/international_results/results.csv
1886-03-13,Northern Ireland,England,1,6,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1886-03-27,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1886-03-29,Wales,England,1,3,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1887-02-05,England,Northern Ireland,7,0,British Home Championship,Sheffield,England,FALSE,data/international_results/results.csv
1887-02-26,England,Wales,4,0,British Home Championship,London,England,FALSE,data/international_results/results.csv
1887-03-19,England,Scotland,2,3,British Home Championship,Blackburn,England,FALSE,data/international_results/results.csv
1888-02-04,England,Wales,5,1,British Home Championship,Crewe,England,FALSE,data/international_results/results.csv
1888-03-17,Scotland,England,0,5,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1888-04-07,Northern Ireland,England,1,5,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1889-02-23,England,Wales,4,1,British Home Championship,Stoke-on-Trent,England,FALSE,data/international_results/results.csv
1889-03-02,England,Northern Ireland,6,1,British Home Championship,Liverpool,England,FALSE,data/international_results/results.csv
1889-04-13,England,Scotland,2,3,British Home Championship,London,England,FALSE,data/international_results/results.csv
1890-03-15,Northern Ireland,England,1,9,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1890-03-15,Wales,England,1,3,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1890-04-05,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1891-03-07,England,Wales,4,1,British Home Championship,Sunderland,England,FALSE,data/international_results/results.csv
1891-03-07,England,Northern Ireland,6,1,British Home Championship,Wolverhampton,England,FALSE,data/international_results/results.csv
1891-04-04,England,Scotland,2,1,British Home Championship,Blackburn,England,FALSE,data/international_results/results.csv
1892-03-05,Northern Ireland,England,0,2,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1892-03-05,Wales,England,0,2,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1892-04-02,Scotland,England,1,4,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1893-02-25,England,Northern Ireland,6,1,British Home Championship,Birmingham,England,FALSE,data/international_results/results.csv
1893-03-13,England,Wales,6,0,British Home Championship,Stoke-on-Trent,England,FALSE,data/international_results/results.csv
1893-04-01,England,Scotland,5,2,British Home Championship,Richmond,England,FALSE,data/international_results/results.csv
1894-03-03,Northern Ireland,England,2,2,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1894-03-12,Wales,England,1,5,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1894-04-07,Scotland,England,2,2,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1895-03-09,England,Northern Ireland,9,0,British Home Championship,Derby,England,FALSE,data/international_results/results.csv
1895-03-18,England,Wales,1,1,British Home Championship,London,England,FALSE,data/international_results/results.csv
1895-04-06,England,Scotland,3,0,British Home Championship,Liverpool,England,FALSE,data/international_results/results.csv
1896-03-07,Northern Ireland,England,0,2,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1896-03-16,Wales,England,1,9,British Home Championship,Cardiff,Wales,FALSE,data/international_results/results.csv
1896-04-04,Scotland,England,2,1,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1897-02-20,England,Northern Ireland,6,0,British Home Championship,Nottingham,England,FALSE,data/international_results/results.csv
1897-03-29,England,Wales,4,0,British Home Championship,Sheffield,England,FALSE,data/international_results/results.csv
1897-04-03,England,Scotland,1,2,British Home Championship,London,England,FALSE,data/international_results/results.csv
1898-03-05,Northern Ireland,England,2,3,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1898-03-28,Wales,England,0,3,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1898-04-02,Scotland,England,1,3,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1899-02-18,England,Northern Ireland,13,2,British Home Championship,Sunderland,England,FALSE,data/international_results/results.csv
1899-03-20,England,Wales,4,0,British Home Championship,Bristol,England,FALSE,data/international_results/results.csv
1899-04-08,England,Scotland,2,1,British Home Championship,Birmingham,England,FALSE,data/international_results/results.csv
1900-03-17,Northern Ireland,England,0,2,British Home Championship,Dublin,Ireland,FALSE,data/international_results/results.csv
1900-03-26,Wales,England,1,1,British Home Championship,Cardiff,Wales,FALSE,data/international_results/results.csv
1900-04-07,Scotland,England,4,1,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1901-03-09,England,Northern Ireland,3,0,British Home Championship,Southampton,England,FALSE,data/international_results/results.csv
1901-03-18,England,Wales,6,0,British Home Championship,Newcastle,England,FALSE,data/international_results/results.csv
1901-03-30,England,Scotland,2,2,British Home Championship,London,England,FALSE,data/international_results/results.csv
1902-03-03,Wales,England,0,0,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1902-03-22,Northern Ireland,England,0,1,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1902-05-03,England,Scotland,2,2,British Home Championship,Birmingham,England,FALSE,data/international_results/results.csv
1902-07-20,Uruguay,Argentina,0,6,Friendly,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1903-02-14,England,Northern Ireland,4,0,British Home Championship,Wolverhampton,England,FALSE,data/international_results/results.csv
1903-03-02,England,Wales,2,1,British Home Championship,Portsmouth,England,FALSE,data/international_results/results.csv
1903-04-04,England,Scotland,1,2,British Home Championship,Sheffield,England,FALSE,data/international_results/results.csv
1903-09-13,Argentina,Uruguay,2,3,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1904-02-29,Wales,England,2,2,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1904-03-12,Northern Ireland,England,1,3,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1904-04-09,Scotland,England,0,1,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1905-02-25,England,Northern Ireland,1,1,British Home Championship,Middlesbrough,England,FALSE,data/international_results/results.csv
1905-03-27,England,Wales,3,1,British Home Championship,Liverpool,England,FALSE,data/international_results/results.csv
1905-04-01,England,Scotland,1,0,British Home Championship,London,England,FALSE,data/international_results/results.csv
1905-08-15,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1906-02-17,Northern Ireland,England,0,5,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1906-03-19,Wales,England,0,1,British Home Championship,Cardiff,Wales,FALSE,data/international_results/results.csv
1906-04-07,Scotland,England,2,1,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1906-07-09,Argentina,South Africa,0,1,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1906-08-15,Uruguay,Argentina,0,2,Copa Lipton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1906-10-21,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1907-02-16,England,Northern Ireland,1,0,British Home Championship,Liverpool,England,FALSE,data/international_results/results.csv
1907-03-18,England,Wales,1,1,British Home Championship,London,England,FALSE,data/international_results/results.csv
1907-04-06,England,Scotland,1,1,British Home Championship,Newcastle,England,FALSE,data/international_results/results.csv
1908-02-15,Northern Ireland,England,1,3,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1908-03-16,Wales,England,1,7,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1908-04-04,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1908-06-06,Austria,England,1,6,Friendly,Vienna,Austria,FALSE,data/international_results/results.csv
1908-06-08,Austria,England,1,11,Friendly,Vienna,Austria,FALSE,data/international_results/results.csv
1908-06-10,Hungary,England,0,7,Friendly,Budapest,Hungary,FALSE,data/international_results/results.csv
1908-06-13,Czechoslovakia,England,0,4,Friendly,Prague,Bohemia,FALSE,data/international_results/results.csv
1908-08-15,Uruguay,Argentina,2,2,Copa Lipton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1908-09-13,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1908-10-04,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1909-02-13,England,Northern Ireland,4,0,British Home Championship,Bradford,England,FALSE,data/international_results/results.csv
1909-03-15,England,Wales,2,0,British Home Championship,Nottingham,England,FALSE,data/international_results/results.csv
1909-04-03,England,Scotland,2,0,British Home Championship,London,England,FALSE,data/international_results/results.csv
1909-05-29,Hungary,England,2,4,Friendly,Budapest,Hungary,FALSE,data/international_results/results.csv
1909-05-31,Hungary,England,2,8,Friendly,Budapest,Hungary,FALSE,data/international_results/results.csv
1909-06-01,Austria,England,1,8,Friendly,Vienna,Austria,FALSE,data/international_results/results.csv
1909-08-15,Argentina,Uruguay,2,1,Copa Lipton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1909-09-19,Uruguay,Argentina,2,2,Copa Newton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1909-10-10,Argentina,Uruguay,3,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1910-02-12,Northern Ireland,England,1,1,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1910-03-14,Wales,England,0,1,British Home Championship,Cardiff,Wales,FALSE,data/international_results/results.csv
1910-04-02,Scotland,England,2,0,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1910-05-27,Argentina,Chile,3,1,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1910-06-05,Argentina,Chile,5,1,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1910-06-12,Argentina,Uruguay,4,1,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1910-08-15,Uruguay,Argentina,3,1,Copa Lipton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1910-09-11,Chile,Argentina,0,3,Friendly,Viña del Mar,Chile,FALSE,data/international_results/results.csv
1910-11-13,Argentina,Uruguay,1,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1910-11-27,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1911-02-11,England,Northern Ireland,2,1,British Home Championship,Derby,England,FALSE,data/international_results/results.csv
1911-03-13,England,Wales,3,0,British Home Championship,London,England,FALSE,data/international_results/results.csv
1911-04-01,England,Scotland,1,1,British Home Championship,Liverpool,England,FALSE,data/international_results/results.csv
1911-08-15,Argentina,Uruguay,0,2,Copa Lipton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1911-09-17,Uruguay,Argentina,2,3,Copa Newton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1911-10-08,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1911-10-22,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1911-10-29,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1912-02-10,Northern Ireland,England,1,6,British Home Championship,Dublin,Ireland,FALSE,data/international_results/results.csv
1912-03-11,Wales,England,0,2,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1912-03-23,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1912-08-15,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1912-08-25,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1912-09-22,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1912-10-06,Argentina,Uruguay,3,3,Copa Newton,Avellaneda,Argentina,FALSE,data/international_results/results.csv
1912-12-01,Uruguay,Argentina,1,3,Friendly,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1913-02-15,Northern Ireland,England,2,1,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1913-03-17,England,Wales,4,3,British Home Championship,Bristol,England,FALSE,data/international_results/results.csv
1913-04-05,England,Scotland,1,0,British Home Championship,London,England,FALSE,data/international_results/results.csv
1913-06-15,Argentina,Uruguay,1,1,Friendly,Avellaneda,Argentina,FALSE,data/international_results/results.csv
1913-07-09,Argentina,Uruguay,2,1,Friendly,Avellaneda,Argentina,FALSE,data/international_results/results.csv
1913-08-15,Argentina,Uruguay,4,0,Copa Lipton,Avellaneda,Argentina,FALSE,data/international_results/results.csv
1913-08-31,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1913-09-21,Chile,Argentina,0,2,Friendly,Viña del Mar,Chile,FALSE,data/international_results/results.csv
1913-10-05,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1913-10-26,Uruguay,Argentina,1,0,Copa Newton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1914-02-14,England,Northern Ireland,0,3,British Home Championship,Middlesbrough,England,FALSE,data/international_results/results.csv
1914-03-16,Wales,England,0,2,British Home Championship,Cardiff,Wales,FALSE,data/international_results/results.csv
1914-04-04,Scotland,England,3,1,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1914-08-30,Uruguay,Argentina,3,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1914-09-13,Argentina,Uruguay,2,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1914-09-20,Argentina,Brazil,3,0,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1914-09-27,Argentina,Brazil,0,1,Copa Roca,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1915-07-18,Uruguay,Argentina,2,3,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1915-08-15,Argentina,Uruguay,2,1,Copa Lipton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1915-09-12,Uruguay,Argentina,2,0,Copa Newton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1916-07-06,Argentina,Chile,6,1,Copa América,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1916-07-10,Argentina,Brazil,1,1,Copa América,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1916-07-12,Argentina,Chile,1,0,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1916-07-17,Argentina,Uruguay,0,0,Copa América,Avellaneda,Argentina,FALSE,data/international_results/results.csv
1916-08-15,Argentina,Uruguay,3,1,Copa Newton,Avellaneda,Argentina,FALSE,data/international_results/results.csv
1916-08-15,Uruguay,Argentina,1,2,Copa Lipton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1916-10-01,Argentina,Uruguay,7,2,Friendly,Avellaneda,Argentina,FALSE,data/international_results/results.csv
1916-10-01,Uruguay,Argentina,0,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1916-10-29,Uruguay,Argentina,3,1,Friendly,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1917-07-18,Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1917-08-15,Argentina,Uruguay,1,0,Copa Lipton,Avellaneda,Argentina,FALSE,data/international_results/results.csv
1917-09-02,Uruguay,Argentina,1,0,Copa Newton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1917-10-03,Argentina,Brazil,4,2,Copa América,Montevideo,Uruguay,TRUE,data/international_results/results.csv
1917-10-06,Argentina,Chile,1,0,Copa América,Montevideo,Uruguay,TRUE,data/international_results/results.csv
1917-10-14,Uruguay,Argentina,1,0,Copa América,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1918-07-18,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1918-07-28,Uruguay,Argentina,3,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1918-08-15,Argentina,Uruguay,0,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1918-08-25,Argentina,Uruguay,2,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1918-09-20,Uruguay,Argentina,1,1,Copa Lipton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1918-09-29,Argentina,Uruguay,2,0,Copa Newton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1919-05-11,Paraguay,Argentina,1,5,Friendly,Asunción,Paraguay,FALSE,data/international_results/results.csv
1919-05-13,Argentina,Uruguay,2,3,Copa América,Rio de Janeiro,Brazil,TRUE,data/international_results/results.csv
1919-05-15,Paraguay,Argentina,0,3,Friendly,Asunción,Paraguay,FALSE,data/international_results/results.csv
1919-05-18,Brazil,Argentina,3,1,Copa América,Rio de Janeiro,Brazil,FALSE,data/international_results/results.csv
1919-05-21,Paraguay,Argentina,1,2,Friendly,Asunción,Paraguay,FALSE,data/international_results/results.csv
1919-05-22,Argentina,Chile,4,1,Copa América,Rio de Janeiro,Brazil,TRUE,data/international_results/results.csv
1919-05-24,Paraguay,Argentina,1,2,Friendly,Asunción,Paraguay,FALSE,data/international_results/results.csv
1919-06-01,Brazil,Argentina,3,3,Friendly,Rio de Janeiro,Brazil,FALSE,data/international_results/results.csv
1919-07-18,Uruguay,Argentina,4,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1919-08-24,Uruguay,Argentina,2,1,Copa Newton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1919-09-07,Argentina,Uruguay,1,2,Copa Lipton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1919-10-19,Argentina,Uruguay,6,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1919-10-25,Northern Ireland,England,1,1,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1919-12-07,Uruguay,Argentina,4,2,Friendly,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1920-03-15,England,Wales,1,2,British Home Championship,London,England,FALSE,data/international_results/results.csv
1920-04-10,England,Scotland,5,4,British Home Championship,Sheffield,England,FALSE,data/international_results/results.csv
1920-07-18,Uruguay,Argentina,2,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1920-07-25,Argentina,Uruguay,1,3,Copa Newton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1920-08-08,Argentina,Uruguay,1,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1920-09-12,Uruguay,Argentina,1,1,Copa América,Viña del Mar,Chile,TRUE,data/international_results/results.csv
1920-09-20,Chile,Argentina,1,1,Copa América,Viña del Mar,Chile,FALSE,data/international_results/results.csv
1920-09-25,Argentina,Brazil,2,0,Copa América,Viña del Mar,Chile,TRUE,data/international_results/results.csv
1920-10-23,England,Northern Ireland,2,0,British Home Championship,Sunderland,England,FALSE,data/international_results/results.csv
1921-03-14,Wales,England,0,0,British Home Championship,Cardiff,Wales,FALSE,data/international_results/results.csv
1921-04-07,Paraguay,Argentina,3,1,Friendly,Asunción,Paraguay,FALSE,data/international_results/results.csv
1921-04-09,Scotland,England,3,0,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1921-04-14,Paraguay,Argentina,2,2,Friendly,Asunción,Paraguay,FALSE,data/international_results/results.csv
1921-05-21,Belgium,England,0,2,Friendly,Brussels,Belgium,FALSE,data/international_results/results.csv
1921-10-02,Argentina,Brazil,1,0,Copa América,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1921-10-16,Argentina,Paraguay,3,0,Copa América,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1921-10-22,Northern Ireland,England,1,1,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1921-10-30,Argentina,Uruguay,1,0,Copa América,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1922-03-13,England,Wales,1,0,British Home Championship,Liverpool,England,FALSE,data/international_results/results.csv
1922-04-08,England,Scotland,0,1,British Home Championship,Birmingham,England,FALSE,data/international_results/results.csv
1922-07-16,Argentina,Basque Country,4,0,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1922-07-27,Argentina,Basque Country,3,1,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1922-09-28,Argentina,Chile,4,0,Copa América,Rio de Janeiro,Brazil,TRUE,data/international_results/results.csv
1922-10-08,Argentina,Uruguay,0,1,Copa América,Rio de Janeiro,Brazil,TRUE,data/international_results/results.csv
1922-10-15,Brazil,Argentina,2,0,Copa América,Rio de Janeiro,Brazil,FALSE,data/international_results/results.csv
1922-10-18,Argentina,Paraguay,2,0,Copa América,Rio de Janeiro,Brazil,TRUE,data/international_results/results.csv
1922-10-21,England,Northern Ireland,2,0,British Home Championship,West Bromwich,England,FALSE,data/international_results/results.csv
1922-10-22,Argentina,Chile,1,0,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1922-10-22,Brazil,Argentina,2,1,Copa Roca,São Paulo,Brazil,FALSE,data/international_results/results.csv
1922-11-12,Uruguay,Argentina,1,0,Copa Lipton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1922-12-10,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1922-12-17,Argentina,Uruguay,2,2,Copa Newton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1923-03-05,Wales,England,2,2,British Home Championship,Cardiff,Wales,FALSE,data/international_results/results.csv
1923-03-19,England,Belgium,6,1,Friendly,London,England,FALSE,data/international_results/results.csv
1923-04-14,Scotland,England,2,2,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1923-05-10,France,England,1,4,Friendly,Vincennes,France,FALSE,data/international_results/results.csv
1923-05-20,Argentina,Paraguay,0,2,Copa Chevallier Boutell,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1923-05-21,Sweden,England,2,4,Friendly,Stockholm,Sweden,FALSE,data/international_results/results.csv
1923-05-24,Sweden,England,1,3,Friendly,Solna,Sweden,FALSE,data/international_results/results.csv
1923-05-25,Argentina,Paraguay,1,0,Copa Chevallier Boutell,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1923-06-24,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1923-07-15,Argentina,Uruguay,2,2,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1923-07-22,Uruguay,Argentina,2,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1923-09-30,Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1923-10-20,Northern Ireland,England,2,1,British Home Championship,Belfast,Northern Ireland,FALSE,data/international_results/results.csv
1923-10-29,Argentina,Paraguay,4,3,Copa América,Montevideo,Uruguay,TRUE,data/international_results/results.csv
1923-11-01,Belgium,England,2,2,Friendly,Antwerp,Belgium,FALSE,data/international_results/results.csv
1923-11-18,Argentina,Brazil,2,1,Copa América,Montevideo,Uruguay,TRUE,data/international_results/results.csv
1923-12-02,Argentina,Brazil,0,2,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1923-12-02,Uruguay,Argentina,2,0,Copa América,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1923-12-09,Argentina,Brazil,2,0,Copa Roca,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1924-03-03,England,Wales,1,2,British Home Championship,Blackburn,England,FALSE,data/international_results/results.csv
1924-04-12,England,Scotland,1,1,British Home Championship,London,England,FALSE,data/international_results/results.csv
1924-05-15,Paraguay,Argentina,1,3,Copa Chevallier Boutell,Asunción,Paraguay,FALSE,data/international_results/results.csv
1924-05-17,France,England,1,3,Friendly,Vincennes,France,FALSE,data/international_results/results.csv
1924-05-18,Paraguay,Argentina,2,1,Copa Chevallier Boutell,Asunción,Paraguay,FALSE,data/international_results/results.csv
1924-05-25,Argentina,Uruguay,4,0,Copa Newton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1924-05-25,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1924-09-21,Uruguay,Argentina,1,1,Friendly,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1924-10-02,Argentina,Uruguay,2,1,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1924-10-12,Argentina,Paraguay,0,0,Copa América,Montevideo,Uruguay,TRUE,data/international_results/results.csv
1924-10-22,England,Northern Ireland,3,1,British Home Championship,Liverpool,England,FALSE,data/international_results/results.csv
1924-10-25,Argentina,Chile,2,0,Copa América,Montevideo,Uruguay,TRUE,data/international_results/results.csv
