date,team,side,opponent,rest_days
1916-07-12,Argentina,home,Chile,2
1916-07-17,Argentina,home,Uruguay,5
1916-08-15,Argentina,home,Uruguay,29
1916-08-15,Argentina,away,Uruguay,0
1916-10-01,Argentina,home,Uruguay,47
1916-10-01,Argentina,away,Uruguay,0
1916-10-29,Argentina,away,Uruguay,28
1917-07-18,Argentina,away,Uruguay,262
1917-08-15,Argentina,home,Uruguay,28
1917-09-02,Argentina,away,Uruguay,18
1917-10-03,Argentina,home,Brazil,31
1917-10-06,Argentina,home,Chile,3
1917-10-14,Argentina,away,Uruguay,8
1918-07-18,Argentina,away,Uruguay,277
1918-07-28,Argentina,away,Uruguay,10
1918-08-15,Argentina,home,Uruguay,18
1918-08-25,Argentina,home,Uruguay,10
1918-09-20,Argentina,away,Uruguay,26
1918-09-29,Argentina,home,Uruguay,9
1919-05-11,Argentina,away,Paraguay,224
1919-05-13,Argentina,home,Uruguay,2
1919-05-15,Argentina,away,Paraguay,2
1919-05-18,Argentina,away,Brazil,3
1919-05-21,Argentina,away,Paraguay,3
1919-05-22,Argentina,home,Chile,1
1919-05-24,Argentina,away,Paraguay,2
1919-06-01,Argentina,away,Brazil,8
1919-07-18,Argentina,away,Uruguay,47
1919-08-24,Argentina,away,Uruguay,37
1919-09-07,Argentina,home,Uruguay,14
1919-10-19,Argentina,home,Uruguay,42
1919-10-25,England,away,Northern Ireland,2030
1919-12-07,Argentina,away,Uruguay,49
1920-03-15,England,home,Wales,142
1920-04-10,England,home,Scotland,26
1920-07-18,Argentina,away,Uruguay,224
1920-07-25,Argentina,home,Uruguay,7
1920-08-08,Argentina,home,Uruguay,14
1920-09-12,Argentina,away,Uruguay,35
1920-09-20,Argentina,away,Chile,8
1920-09-25,Argentina,home,Brazil,5
1920-10-23,England,home,Northern Ireland,196
1921-03-14,England,away,Wales,142
1921-04-07,Argentina,away,Paraguay,194
1921-04-09,England,away,Scotland,26
1921-04-14,Argentina,away,Paraguay,7
1921-05-21,England,away,Belgium,42
1921-10-02,Argentina,home,Brazil,171
1921-10-16,Argentina,home,Paraguay,14
1921-10-22,England,away,Northern Ireland,154
1921-10-30,Argentina,home,Uruguay,14
1922-03-13,England,home,Wales,142
1922-04-08,England,home,Scotland,26
1922-07-16,Argentina,home,Basque Country,259
1922-07-27,Argentina,home,Basque Country,11
1922-09-28,Argentina,home,Chile,63
1922-10-08,Argentina,home,Uruguay,10
1922-10-15,Argentina,away,Brazil,7
1922-10-18,Argentina,home,Paraguay,3
1922-10-21,England,home,Northern Ireland,196
1922-10-22,Argentina,home,Chile,4
1922-10-22,Argentina,away,Brazil,0
1922-11-12,Argentina,away,Uruguay,21
1922-12-10,Argentina,away,Uruguay,28
1922-12-17,Argentina,home,Uruguay,7
1923-03-05,England,away,Wales,135
1923-03-19,England,home,Belgium,14
1923-04-14,England,away,Scotland,26
1923-05-10,England,away,France,26
1923-05-20,Argentina,home,Paraguay,154
1923-05-21,England,away,Sweden,11
1923-05-24,England,away,Sweden,3
1923-05-25,Argentina,home,Paraguay,5
1923-06-24,Argentina,home,Uruguay,30
1923-07-15,Argentina,home,Uruguay,21
1923-07-22,Argentina,away,Uruguay,7
1923-09-30,Argentina,away,Uruguay,70
1923-10-20,England,away,Northern Ireland,149
1923-10-29,Argentina,home,Paraguay,29
1923-11-01,England,away,Belgium,12
1923-11-18,Argentina,home,Brazil,20
1923-12-02,Argentina,home,Brazil,14
1923-12-02,Argentina,away,Uruguay,0
1923-12-09,Argentina,home,Brazil,7
1924-03-03,England,home,Wales,123
1924-04-12,England,home,Scotland,40
1924-05-15,Argentina,away,Paraguay,158
1924-05-17,England,away,France,35
1924-05-18,Argentina,away,Paraguay,3
1924-05-25,Argentina,home,Uruguay,7
1924-05-25,Argentina,away,Uruguay,0
1924-09-21,Argentina,away,Uruguay,119
1924-10-02,Argentina,home,Uruguay,11
1924-10-12,Argentina,home,Paraguay,10
1924-10-22,England,home,Northern Ireland,158
1924-10-25,Argentina,home,Chile,13
1924-11-02,Argentina,away,Uruguay,8
1924-12-08,England,home,Belgium,47
1925-02-28,England,away,Wales,82
1925-04-04,England,away,Scotland,35
1925-05-21,England,away,France,47
1925-07-09,Argentina,home,Paraguay,249
1925-07-12,Argentina,home,Paraguay,3
1925-10-24,England,away,Northern Ireland,156
1925-11-29,Argentina,home,Paraguay,140
1925-12-13,Argentina,home,Brazil,14
1925-12-20,Argentina,home,Paraguay,7
1925-12-25,Argentina,home,Brazil,5
1926-03-01,England,home,Wales,128
1926-04-17,England,home,Scotland,47
1926-05-24,England,away,Belgium,37
1926-05-29,Argentina,home,Paraguay,155
1926-06-03,Argentina,home,Paraguay,5
1926-10-16,Argentina,home,Bolivia,135
1926-10-20,Argentina,home,Paraguay,4
1926-10-20,England,home,Northern Ireland,149
1926-10-24,Argentina,home,Uruguay,4
1926-10-31,Argentina,away,Chile,7
1927-02-12,England,away,Wales,115
1927-04-02,England,away,Scotland,49
1927-05-11,England,away,Belgium,39
1927-05-21,England,away,Luxembourg,10
1927-05-26,England,away,France,5
1927-07-14,Argentina,away,Uruguay,256
1927-08-30,Argentina,home,Uruguay,47
1927-10-22,England,away,Northern Ireland,149
1927-10-30,Argentina,home,Bolivia,61
1927-11-20,Argentina,home,Uruguay,21
1927-11-27,Argentina,away,Peru,7
1927-11-28,England,home,Wales,37
1928-03-31,England,home,Scotland,124
1928-04-01,Argentina,away,Portugal,126
1928-05-17,England,away,France,47
1928-05-19,England,away,Belgium,2
1928-05-29,Argentina,home,United States,58
1928-06-02,Argentina,home,Belgium,4
1928-06-06,Argentina,home,Egypt,4
1928-06-10,Argentina,away,Uruguay,4
1928-06-13,Argentina,away,Uruguay,3
1928-08-30,Argentina,home,Uruguay,78
1928-09-21,Argentina,away,Uruguay,22
1928-10-22,England,home,Northern Ireland,156
1928-11-17,England,away,Wales,26
1929-04-13,England,away,Scotland,147
1929-05-09,England,away,France,26
1929-05-11,England,away,Belgium,2
1929-05-15,England,away,Spain,4
1929-06-16,Argentina,home,Uruguay,268
1929-06-16,Argentina,away,Uruguay,0
1929-09-20,Argentina,away,Uruguay,96
1929-09-28,Argentina,home,Uruguay,8
1929-10-19,England,away,Northern Ireland,157
1929-11-03,Argentina,home,Peru,36
1929-11-10,Argentina,home,Paraguay,7
1929-11-17,Argentina,home,Uruguay,7
1929-11-20,England,home,Wales,32
1930-04-05,England,home,Scotland,136
1930-05-10,England,away,Germany,35
1930-05-14,England,away,Austria,4
1930-05-25,Argentina,home,Uruguay,189
1930-07-15,Argentina,home,France,51
1930-07-19,Argentina,home,Mexico,4
1930-07-22,Argentina,home,Chile,3
1930-07-26,Argentina,home,United States,4
1930-07-30,Argentina,away,Uruguay,4
1930-08-03,Argentina,home,Yugoslavia,4
1930-10-20,England,home,Northern Ireland,159
1930-11-22,England,away,Wales,33
1931-03-28,England,away,Scotland,126
1931-04-19,Argentina,away,Paraguay,259
1931-04-25,Argentina,away,Paraguay,6
1931-05-14,England,away,France,47
1931-05-16,England,away,Belgium,2
1931-07-04,Argentina,home,Paraguay,70
1931-07-09,Argentina,home,Paraguay,5
1931-10-17,England,away,Northern Ireland,154
1931-11-18,England,home,Wales,32
1931-12-09,England,home,Spain,21
1932-04-09,England,home,Scotland,122
1932-05-15,Argentina,home,Uruguay,311
1932-05-18,Argentina,away,Uruguay,3
1932-10-17,England,home,Northern Ireland,191
1932-11-16,England,away,Wales,30
1932-12-07,England,home,Austria,21
1933-01-21,Argentina,away,Uruguay,248
1933-02-05,Argentina,home,Uruguay,15
1933-04-01,England,away,Scotland,115
1933-05-13,England,away,Italy,42
1933-05-20,England,away,Switzerland,7
1933-10-14,England,away,Northern Ireland,147
1933-11-15,England,home,Wales,32
1933-12-06,England,home,France,21
1933-12-14,Argentina,away,Uruguay,312
1934-04-14,England,home,Scotland,129
1934-05-10,England,away,Hungary,26
1934-05-16,England,away,Czechoslovakia,6
1934-05-27,Argentina,home,Sweden,164
1934-07-18,Argentina,away,Uruguay,52
1934-08-15,Argentina,home,Uruguay,28
1934-09-29,England,away,Wales,136
1934-11-14,England,home,Italy,46
1935-01-06,Argentina,home,Chile,144
1935-01-20,Argentina,away,Peru,14
1935-01-27,Argentina,home,Uruguay,7
1935-02-06,England,home,Northern Ireland,84
1935-04-06,England,away,Scotland,59
1935-05-18,England,away,Netherlands,42
1935-07-18,Argentina,away,Uruguay,172
1935-08-15,Argentina,home,Uruguay,28
1935-10-19,England,away,Northern Ireland,154
1935-12-04,England,home,Germany,46
1936-02-05,England,home,Wales,63
1936-04-04,England,home,Scotland,59
1936-05-06,England,away,Austria,32
1936-05-09,England,away,Belgium,3
1936-08-09,Argentina,home,Uruguay,360
1936-09-20,Argentina,away,Uruguay,42
1936-10-17,England,away,Wales,161
1936-11-18,England,home,Northern Ireland,32
1936-12-02,England,home,Hungary,14
1936-12-30,Argentina,home,Chile,101
1937-01-09,Argentina,home,Paraguay,10
1937-01-16,Argentina,home,Peru,7
1937-01-23,Argentina,home,Uruguay,7
1937-01-30,Argentina,home,Brazil,7
1937-02-01,Argentina,home,Brazil,2
1937-04-17,England,away,Scotland,136
1937-05-14,England,away,Norway,27
1937-05-17,England,away,Sweden,3
1937-05-20,England,away,Finland,3
1937-10-10,Argentina,away,Uruguay,251
1937-10-23,England,away,Northern Ireland,156
1937-11-11,Argentina,home,Uruguay,32
1937-11-17,England,home,Wales,25
1937-12-01,England,home,Czechoslovakia,14
1938-04-09,England,home,Scotland,129
1938-05-14,England,away,Germany,35
1938-05-21,England,away,Switzerland,7
1938-05-26,England,away,France,5
1938-06-18,Argentina,home,Uruguay,219
1938-10-12,Argentina,away,Uruguay,116
1938-10-22,England,away,Wales,149
1938-11-09,England,home,Norway,18
1938-11-16,England,home,Northern Ireland,7
1939-01-15,Argentina,away,Brazil,95
1939-01-22,Argentina,away,Brazil,7
1939-04-15,England,away,Scotland,150
1939-05-13,England,away,Italy,28
1939-05-18,England,away,Yugoslavia,5
1939-05-24,England,away,Romania,6
1939-08-14,Argentina,away,Paraguay,204
1939-08-16,Argentina,away,Paraguay,2
1940-02-18,Argentina,home,Paraguay,186
1940-02-18,Argentina,away,Brazil,0
1940-02-25,Argentina,home,Paraguay,7
1940-02-25,Argentina,away,Brazil,0
1940-03-02,Argentina,home,Chile,6
1940-03-05,Argentina,home,Brazil,3
1940-03-09,Argentina,home,Chile,4
1940-03-10,Argentina,home,Brazil,1
1940-03-17,Argentina,home,Brazil,7
1940-07-18,Argentina,away,Uruguay,123
1940-08-15,Argentina,home,Uruguay,28
1941-01-05,Argentina,away,Chile,143
1941-01-09,Argentina,away,Chile,4
1941-01-19,Argentina,away,Peru,10
1941-01-26,Argentina,away,Peru,7
1941-01-29,Argentina,away,Peru,3
1941-02-12,Argentina,home,Peru,14
1941-02-16,Argentina,home,Ecuador,4
1941-02-23,Argentina,home,Uruguay,7
1941-03-04,Argentina,away,Chile,9
1942-01-11,Argentina,home,Paraguay,313
1942-01-17,Argentina,home,Brazil,6
1942-01-22,Argentina,home,Ecuador,5
1942-01-25,Argentina,home,Peru,3
1942-01-31,Argentina,home,Chile,6
1942-02-07,Argentina,away,Uruguay,7
1942-05-25,Argentina,home,Uruguay,107
1942-08-25,Argentina,away,Uruguay,92
1943-03-28,Argentina,home,Uruguay,215
1943-04-04,Argentina,away,Uruguay,7
1943-07-10,Argentina,away,Paraguay,97
1943-07-11,Argentina,away,Paraguay,1
1945-01-06,Argentina,home,Paraguay,545
1945-01-09,Argentina,home,Paraguay,3
1945-01-18,Argentina,home,Bolivia,9
1945-01-31,Argentina,home,Ecuador,13
1945-02-07,Argentina,home,Colombia,7
1945-02-11,Argentina,away,Chile,4
1945-02-15,Argentina,home,Brazil,4
1945-02-25,Argentina,home,Uruguay,10
1945-05-26,England,home,France,2194
1945-07-07,Argentina,away,Paraguay,132
1945-07-09,Argentina,away,Paraguay,2
1945-07-18,Argentina,away,Uruguay,9
1945-07-21,England,away,Switzerland,56
1945-08-15,Argentina,home,Uruguay,28
1945-09-15,England,away,Northern Ireland,56
1945-10-20,England,home,Wales,35
1945-12-16,Argentina,away,Brazil,123
1945-12-20,Argentina,away,Brazil,4
1945-12-23,Argentina,away,Brazil,3
1946-01-12,Argentina,home,Paraguay,20
1946-01-19,Argentina,home,Bolivia,7
1946-01-19,England,home,Belgium,91
1946-01-26,Argentina,home,Chile,7
1946-02-02,Argentina,home,Uruguay,7
1946-02-10,Argentina,home,Brazil,8
1946-04-13,England,away,Scotland,84
1946-04-24,England,home,Scotland,11
1946-05-11,England,home,Switzerland,17
1946-05-19,England,away,France,8
1946-09-28,England,away,Northern Ireland,132
1946-09-30,England,away,Republic of Ireland,2
1946-11-13,England,home,Wales,44
1946-11-27,England,home,Netherlands,14
1947-04-12,England,home,Scotland,136
1947-05-03,England,home,France,21
1947-05-18,England,away,Switzerland,15
1947-05-25,England,away,Portugal,7
1947-09-21,England,away,Belgium,119
1947-10-18,England,away,Wales,27
1947-11-05,England,home,Northern Ireland,18
1947-11-19,England,home,Sweden,14
1947-12-02,Argentina,home,Paraguay,660
1947-12-04,Argentina,home,Bolivia,2
1947-12-11,Argentina,home,Peru,7
1947-12-16,Argentina,home,Chile,5
1947-12-18,Argentina,home,Colombia,2
1947-12-25,Argentina,away,Ecuador,7
1947-12-28,Argentina,home,Uruguay,3
1948-04-10,England,away,Scotland,143
1948-05-16,England,away,Italy,36
1948-09-26,England,away,Denmark,133
1948-10-09,England,away,Northern Ireland,13
1948-11-10,England,home,Wales,32
1948-12-02,England,home,Switzerland,22
1949-04-09,England,home,Scotland,128
1949-05-13,England,away,Sweden,34
1949-05-18,England,away,Norway,5
1949-05-22,England,away,France,4
1949-09-21,England,home,Republic of Ireland,122
1949-10-15,England,away,Wales,24
1949-11-16,England,home,Northern Ireland,32
1949-11-30,England,home,Italy,14
1950-03-25,Argentina,home,Paraguay,818
1950-03-29,Argentina,home,Paraguay,4
1950-04-15,England,away,Scotland,136
1950-05-14,England,away,Portugal,29
1950-05-18,England,away,Belgium,4
1950-06-25,England,away,Chile,38
1950-06-29,England,home,United States,4
1950-07-02,England,home,Spain,3
1950-10-07,England,away,Northern Ireland,97
1950-11-15,England,home,Wales,39
1950-11-22,England,home,Yugoslavia,7
1951-04-14,England,home,Scotland,143
1951-05-09,England,home,Argentina,25
1951-05-09,Argentina,away,England,406
1951-05-13,Argentina,away,Republic of Ireland,4
