match_id,match_date,competition,season,stage,opponent,is_home,home_team,away_team,home_score,away_score,is_starter,minutes_played,shots,shots_on_target,goals,high_stakes_tags
69159,2007-04-15,La Liga,2006/2007,Regular Season,Mallorca,True,Barcelona,Mallorca,1,0,True,93.9,3,1,0,
69155,2007-04-22,La Liga,2006/2007,Regular Season,Villarreal,False,Villarreal,Barcelona,2,0,True,93.4,1,1,0,
69156,2007-04-29,La Liga,2006/2007,Regular Season,Levante UD,True,Barcelona,Levante UD,1,0,True,94.0,1,0,0,
69160,2007-05-05,La Liga,2006/2007,Regular Season,Real Sociedad,False,Real Sociedad,Barcelona,0,2,True,92.5,2,0,0,
69162,2007-05-13,La Liga,2006/2007,Regular Season,Real Betis,True,Barcelona,Real Betis,1,1,True,74.4,2,0,0,
69176,2007-05-20,La Liga,2006/2007,Regular Season,Atlético Madrid,False,Atlético Madrid,Barcelona,0,6,True,91.8,5,4,2,
69157,2007-05-26,La Liga,2006/2007,Regular Season,Getafe,True,Barcelona,Getafe,1,0,True,89.7,3,0,0,
69165,2007-06-09,La Liga,2006/2007,Regular Season,Espanyol,True,Barcelona,Espanyol,2,2,True,93.7,6,3,2,
68336,2007-06-17,La Liga,2006/2007,Regular Season,Gimnàstic Tarragona,False,Gimnàstic Tarragona,Barcelona,1,5,True,81.6,3,3,2,
69180,2007-08-26,La Liga,2007/2008,Regular Season,Racing Santander,False,Racing Santander,Barcelona,0,0,True,61.4,1,1,0,
69169,2007-09-02,La Liga,2007/2008,Regular Season,Athletic Club,True,Barcelona,Athletic Club,3,1,True,93.0,3,1,0,
69148,2007-09-22,La Liga,2007/2008,Regular Season,Sevilla,True,Barcelona,Sevilla,2,1,True,89.2,5,3,2,
69151,2007-09-29,La Liga,2007/2008,Regular Season,Levante UD,False,Levante UD,Barcelona,1,4,True,51.4,4,2,1,
69144,2007-10-07,La Liga,2007/2008,Regular Season,Atlético Madrid,True,Barcelona,Atlético Madrid,3,0,True,93.1,3,2,1,
68364,2007-10-20,La Liga,2007/2008,Regular Season,Villarreal,False,Villarreal,Barcelona,3,1,True,93.8,2,0,0,
69158,2007-10-28,La Liga,2007/2008,Regular Season,Almería,True,Barcelona,Almería,2,0,False,19.2,1,1,1,
68363,2007-11-01,La Liga,2007/2008,Regular Season,Real Valladolid,False,Real Valladolid,Barcelona,1,1,True,93.0,0,0,0,
69166,2007-11-04,La Liga,2007/2008,Regular Season,Real Betis,True,Barcelona,Real Betis,3,0,True,93.4,2,1,0,
69178,2007-11-10,La Liga,2007/2008,Regular Season,Getafe,False,Getafe,Barcelona,2,0,True,71.8,1,0,0,
69184,2007-11-24,La Liga,2007/2008,Regular Season,Recreativo Huelva,True,Barcelona,Recreativo Huelva,3,0,True,91.8,6,3,1,
68356,2007-12-01,La Liga,2007/2008,Regular Season,Espanyol,False,Espanyol,Barcelona,1,1,True,92.4,4,3,0,
69170,2007-12-09,La Liga,2007/2008,Regular Season,RC Deportivo La Coruña,True,Barcelona,RC Deportivo La Coruña,2,1,True,93.8,2,0,0,
69145,2007-12-15,La Liga,2007/2008,Regular Season,Valencia,False,Valencia,Barcelona,0,3,True,44.6,1,0,0,
69173,2008-01-20,La Liga,2007/2008,Regular Season,Racing Santander,True,Barcelona,Racing Santander,1,0,False,27.4,0,0,0,
69181,2008-01-27,La Liga,2007/2008,Regular Season,Athletic Club,False,Athletic Club,Barcelona,1,1,True,93.2,3,1,0,
69187,2008-02-03,La Liga,2007/2008,Regular Season,Osasuna,True,Barcelona,Osasuna,1,0,True,67.3,4,0,0,
69146,2008-02-09,La Liga,2007/2008,Regular Season,Sevilla,False,Sevilla,Barcelona,1,1,True,94.8,3,1,0,
69182,2008-02-16,La Liga,2007/2008,Regular Season,Real Zaragoza,False,Real Zaragoza,Barcelona,1,2,True,79.8,0,0,0,
68360,2008-02-24,La Liga,2007/2008,Regular Season,Levante UD,True,Barcelona,Levante UD,5,1,True,80.9,2,1,1,
68365,2008-03-01,La Liga,2007/2008,Regular Season,Atlético Madrid,False,Atlético Madrid,Barcelona,4,2,False,36.6,0,0,0,
68358,2008-04-12,La Liga,2007/2008,Regular Season,Recreativo Huelva,False,Recreativo Huelva,Barcelona,2,2,False,30.0,0,0,0,
68359,2008-04-19,La Liga,2007/2008,Regular Season,Espanyol,True,Barcelona,Espanyol,0,0,False,48.3,3,1,0,
69141,2008-05-04,La Liga,2007/2008,Regular Season,Valencia,True,Barcelona,Valencia,6,0,True,90.2,5,3,1,
68361,2008-05-07,La Liga,2007/2008,Regular Season,Real Madrid,False,Real Madrid,Barcelona,4,1,True,93.0,6,3,0,El_Clasico
68366,2008-05-11,La Liga,2007/2008,Regular Season,Mallorca,True,Barcelona,Mallorca,2,3,True,62.6,2,1,0,
69186,2008-05-17,La Liga,2007/2008,Regular Season,Real Murcia CF,False,Real Murcia CF,Barcelona,3,5,True,92.9,2,1,0,
69147,2008-08-31,La Liga,2008/2009,Regular Season,CD Numancia de Soria,False,CD Numancia de Soria,Barcelona,1,0,True,93.9,6,2,0,
69215,2008-09-13,La Liga,2008/2009,Regular Season,Racing Santander,True,Barcelona,Racing Santander,1,1,False,35.4,3,1,1,
69138,2008-09-21,La Liga,2008/2009,Regular Season,Sporting Gijón,False,Sporting Gijón,Barcelona,1,6,True,91.0,7,3,2,
69207,2008-09-24,La Liga,2008/2009,Regular Season,Real Betis,True,Barcelona,Real Betis,3,2,True,93.3,3,1,0,
69211,2008-09-27,La Liga,2008/2009,Regular Season,Espanyol,False,Espanyol,Barcelona,1,2,True,98.7,6,2,1,
69212,2008-10-04,La Liga,2008/2009,Regular Season,Atlético Madrid,True,Barcelona,Atlético Madrid,6,1,True,69.8,3,1,1,
69232,2008-10-25,La Liga,2008/2009,Regular Season,Almería,True,Barcelona,Almería,5,0,True,92.3,2,1,0,
69235,2008-11-01,La Liga,2008/2009,Regular Season,Málaga,False,Málaga,Barcelona,1,4,True,78.9,1,1,1,
69279,2008-11-08,La Liga,2008/2009,Regular Season,Real Valladolid,True,Barcelona,Real Valladolid,6,0,True,91.8,3,1,0,
69285,2008-11-16,La Liga,2008/2009,Regular Season,Recreativo Huelva,False,Recreativo Huelva,Barcelona,0,2,True,93.0,5,3,1,
69171,2008-11-29,La Liga,2008/2009,Regular Season,Sevilla,False,Sevilla,Barcelona,0,3,True,93.2,6,3,2,
69149,2008-12-06,La Liga,2008/2009,Regular Season,Valencia,True,Barcelona,Valencia,4,0,True,81.6,2,1,0,
