question,n_walk_forward,brier_walk_forward,brier_naive_0.5,improvement,hit_rate,n_live,live_rate_pooled
Q5 goal-in-each-half,228,0.25985412146271736,0.25,-0.009854121462717358,0.5087719298245614,235,0.5191489361702127
Q7 stoppage-time goal,228,0.2175374573508117,0.25,0.0324625426491883,0.31140350877192985,235,0.31063829787234043
Q8 both-teams-carded,228,0.23298987025339107,0.25,0.017010129746608926,0.6622807017543859,235,0.6723404255319149
Q10 card-before-first-goal,228,0.250957659533065,0.25,-0.0009576595330649806,0.44298245614035087,235,0.43829787234042555
