"match_id","match_date","team_A","team_B","actual_A","actual_B","outcome_A_gt_B","lambda_A_hier","lambda_B_hier","lambda_A_baseline","lambda_B_baseline","p_hier","p_baseline","p_5050","brier_hier","brier_baseline","brier_5050","logloss_hier","logloss_baseline","logloss_5050"
"760416","2026-06-12","Canada","Bosnia and Herzegovina",9,4,1,3.75175181174612,2.1234296419705,4.29086538461539,4.46538461538462,0.677984787788765,0.408496360988607,0.5,0.103693796895447,0.34987655496372,0.25,0.38863042818318,0.895272272950382,0.693147180559945
"760417","2026-06-12","United States","Paraguay",3,1,1,2.91670153479996,3.07723643320513,4.92521367521368,4.46538461538462,0.39121147739243,0.493532024327361,0.5,0.370623465258707,0.256509810381941,0.25,0.938507002314148,0.706167529959987,0.693147180559945
"760418","2026-06-13","Haiti","Scotland",4,3,1,2.87278330970532,3.87481278609583,4.46212121212121,4.46212121212121,0.279073574595188,0.432225336113071,0.5,0.519734910846959,0.322368068951915,0.25,1.27627982369919,0.838808215357101,0.693147180559945
"760419","2026-06-13","Brazil","Morocco",6,2,1,4.46083971403975,2.44639618725677,6.62070707070707,3.1540404040404,0.717698491626791,0.831423511356228,0.5,0.0796941416297889,0.0284180325234639,0.25,0.331705726224798,0.184615973328151,0.693147180559945
"760420","2026-06-13","Qatar","Switzerland",3,10,0,2.08607946836603,6.13818110389077,3.91382575757576,5.254662004662,0.0493913332630112,0.269872546022329,0.5,0.00243950380149783,0.0728311910965742,0.25,0.0506527977209307,0.314536165589584,0.693147180559945
"760421","2026-06-14","Australia","Turkey",5,8,0,3.22054351862654,4.04025373853388,3.69444444444444,4.46666666666667,0.310128152823934,0.326396802628817,0.5,0.0961794711739851,0.106534872766315,0.25,0.371249427370887,0.395114069374099,0.693147180559945
"760422","2026-06-14","Germany","Curaçao",8,1,1,7.29622488770844,2.41074345398624,6.03030303030303,4.46666666666667,0.926529172162558,0.627917005402649,0.5,0.00539796254311899,0.138445754868532,0.25,0.0763097473384229,0.465347278249595,0.693147180559945
"760423","2026-06-14","Ivory Coast","Ecuador",3,6,0,2.93250867539834,4.45573872300484,4.46666666666667,4.16666666666667,0.225478737707139,0.471460060541785,0.5,0.0508406611580049,0.222274588686063,0.25,0.255510166573877,0.637636905177707,0.693147180559945
"760424","2026-06-14","Sweden","Tunisia",4,2,1,3.57224857756562,4.35756256634977,3.83333333333333,4.84848484848485,0.322311199256581,0.301923728740737,0.5,0.459262110653053,0.487310480495237,0.25,1.13223774283834,1.19758084734298,0.693147180559945
"760425","2026-06-14","Netherlands","Japan",5,4,1,3.20204711745121,4.030415883567,4.13333333333333,4.48717948717949,0.308631402018622,0.384208381222988,0.5,0.477990538274736,0.379199317756013,0.25,1.1756075878507,0.956570214145932,0.693147180559945
"760426","2026-06-15","Belgium","Egypt",2,7,0,4.85026200731272,2.82873300828518,4.95714285714286,3.41964285714286,0.708350260521268,0.639008795302276,0.5,0.501760091580549,0.408332240473665,0.25,1.23220171904971,1.01890168466427,0.693147180559945
"760427","2026-06-15","Iran","New Zealand",4,1,1,3.72318062044937,3.28733327209495,3.12337662337662,4.47142857142857,0.488363652370055,0.248801836565608,0.5,0.26177175221611,0.564298680747203,0.25,0.716694961361765,1.39109853644979,0.693147180559945
"760428","2026-06-15","Spain","Cape Verde",11,1,1,7.83459656863691,2.05914023870397,5.18131868131868,4.47142857142857,0.960148878152107,0.52575133292906,0.5,0.00158811191253559,0.224911798218564,0.25,0.0406669251356886,0.642926929111891,0.693147180559945
"760429","2026-06-15","Saudi Arabia","Uruguay",4,14,0,2.68395044983322,4.44275061463555,3.66883116883117,3.71978021978022,0.195199849039856,0.417928085502546,0.5,0.0381029810651827,0.174663884651823,0.25,0.217161292061949,0.541161274455539,0.693147180559945
"760430","2026-06-16","Iraq","Norway",2,5,0,3.18435502166791,5.8575170621298,4.5,4.5,0.141817621590184,0.432520237709139,0.5,0.0201122377934967,0.18707375602797,0.25,0.152938639833126,0.566550191423931,0.693147180559945
"760432","2026-06-16","France","Senegal",6,4,1,5.18494947487552,3.43593241331232,4.28947368421053,4.375,0.664028714654362,0.419792310494154,0.5,0.1128767045768,0.336640962961712,0.25,0.409429885479352,0.867995188833031,0.693147180559945
"760433","2026-06-16","Argentina","Algeria",2,2,0,6.56787836601228,2.92184582952878,5.28125,4.5,0.849890399956081,0.534680014626426,0.5,0.722313691937507,0.285882718040915,0.25,1.89638958473357,0.765029969466621,0.693147180559945
"760431","2026-06-17","Austria","Jordan",4,3,1,4.77500855314709,3.63437024832737,4.47959183673469,4.47959183673469,0.586095031434486,0.432361832582319,0.5,0.171317323003219,0.322213089109303,0.25,0.534273332869783,0.838492465886546,0.693147180559945
"760434","2026-06-17","Ghana","Panama",2,2,0,3.37357117165386,4.98254930671184,4.42474489795918,3.42474489795918,0.230420732998319,0.569269356454163,0.5,0.0530937141954825,0.324067600197737,0.25,0.261911319960158,0.842272341215614,0.693147180559945
"760435","2026-06-17","Portugal","DR Congo",5,4,1,6.2349899046945,2.90367943876627,5.17128279883382,4.47959183673469,0.828357087255571,0.523419913383484,0.5,0.0294612894953916,0.227128578959406,0.25,0.188310952763399,0.647371243405236,0.693147180559945
"760436","2026-06-17","Uzbekistan","Colombia",3,4,0,3.08228056453789,5.0580765240504,4.47959183673469,3.93310657596372,0.189600782671023,0.504918699298312,0.5,0.0359484567894644,0.254942892901099,0.25,0.210228291831722,0.703033286058195,0.693147180559945
"760437","2026-06-17","England","Croatia",8,2,1,5.16270330807411,3.86071532718138,5.08223289315726,4.86305048335123,0.604156638608995,0.463401334825559,0.5,0.15669196675733,0.287938127466992,0.25,0.503921779223591,0.769161786483998,0.693147180559945
"760438","2026-06-18","Czech Republic","South Africa",5,5,0,4.85990574320219,3.32516155956876,4.54495614035088,3.87828947368421,0.64017826342423,0.52143064541821,0.5,0.409828208960863,0.271889917981251,0.25,1.02214654635061,0.736954136937422,0.693147180559945
"760439","2026-06-18","Switzerland","Bosnia and Herzegovina",7,3,1,6.51053896042161,3.04636536158743,5.5906954887218,4.37828947368421,0.834086941002597,0.588256743514843,0.5,0.0275271431458757,0.169532509261002,0.25,0.181417636250135,0.530591787751732,0.693147180559945
"760440","2026-06-18","Canada","Qatar",19,1,1,6.23400220429252,2.7996393825053,4.8077485380117,3.8077485380117,0.838772699457739,0.566287486700012,0.5,0.0259942424401445,0.188106544192993,0.25,0.175815527625507,0.568653402698403,0.693147180559945
"760441","2026-06-18","Mexico","South Korea",1,2,0,4.65673509040778,4.35102808739619,4.63613360323887,5.02074898785425,0.472876715237822,0.386783476036878,0.5,0.223612387814113,0.14960145733517,0.25,0.640320820869623,0.489037185245258,0.693147180559945
"760442","2026-06-19","United States","Australia",7,4,1,4.11251937338896,4.44332740260864,4.73878205128205,3.79906311637081,0.386789257766911,0.55842699180204,0.5,0.376027414390055,0.194986721568995,0.25,0.949875287849374,0.582631390947836,0.693147180559945
"760443","2026-06-19","Turkey","Paraguay",12,0,1,4.83012897591376,3.46785854527143,5.06463675213675,3.89797008547009,0.616468786247531,0.586916727755151,0.5,0.147096191922442,0.170637789808512,0.25,0.483747588239346,0.532872329940989,0.693147180559945
"760444","2026-06-19","Brazil","Haiti",4,4,0,7.61015978621266,2.60475082408552,6.58673878205128,4.39797008547009,0.926507770400823,0.694686125350118,0.5,0.858416648613105,0.48258881275396,0.25,2.61057559809117,1.18641493431953,0.693147180559945
