"family","n_team_matches","n_matches","nll_baseline","nll_hier","corr_baseline","corr_hier","mean_diff","t_stat","p_value","ci90_lo","ci90_hi","raw_pass","p_adj_BH","fdr_pass"
"cards",196,98,1.51781539065141,1.48511368684003,0.0158214820734443,0.127851789676327,0.0327017038113762,1.23887832634333,0.218380059294895,-0.0128052220885953,0.0762733376506417,FALSE,0.291173412393194,FALSE
"corners",196,98,2.55970604701434,2.44023761056297,0.175191569219946,0.385874446675965,0.119468436451365,2.2063514346582,0.0297193279268155,0.0330090340655702,0.210100966813458,TRUE,0.059438655853631,TRUE
"offsides",196,98,1.77483988418061,1.7734510635469,0.0557301843151312,0.101342706640354,0.0013888206337133,0.0583660541657276,0.953577124310107,-0.0362531080631101,0.039114750543695,FALSE,0.953577124310107,FALSE
"sot",196,98,2.37816876226247,2.15393840210007,0.303036027983406,0.561432104216002,0.224230360162405,4.07090166444263,9.55831098828158e-05,0.137711969739535,0.317988872286299,TRUE,0.000382332439531263,TRUE
