match_id,date,actual,lambda_hier,lambda_baseline,threshold,nll_hier,nll_baseline,nll_global,brier_hier,brier_baseline
760416,2026-06-12,1.0,3.0338241367133003,3.6375,4,1.9240002216352727,2.3462033675023894,2.3462033675023894,0.12984898964891006,0.24277912003842542
760417,2026-06-12,3.0,2.66611381290019,3.08034188034188,3,1.5160075480617397,1.4969795767606549,2.791759469228055,0.25196536626955757,0.16437607146303843
760418,2026-06-13,4.0,2.31822285560223,3.22727272727272,3,2.1330731594462855,1.7187768628886748,2.4054651081081633,0.34953191694169744,0.14005632501940962
760419,2026-06-13,1.0,2.45110179387766,3.6090909090909102,4,1.5545641586242636,2.325634994196136,1.6858374136549403,0.05383522388023814,0.2368904784902929
760420,2026-06-13,1.0,2.379566389908595,3.27338286713287,3,1.5126481079377,2.087558901023784,1.4390697837836712,0.18057709702596283,0.40347909021162
760421,2026-06-14,4.0,1.946402933687168,2.6,3,2.460524685140751,1.9560080502381991,2.4054651081081633,0.47772985479212765,0.2687692252052332
760422,2026-06-14,1.0,2.650129941040885,4.05454545454545,4,1.675521267889848,2.6547068683178034,1.4860354729461298,0.07559496097141975,0.33305935638278716
760423,2026-06-14,0.0,2.275338065090274,3.475,3,2.275338065090274,3.475,2.142857142857143,0.15793544744676513,0.45495570855706957
760424,2026-06-14,9.0,2.25048330005864,3.31818181818182,3,7.752005841554591,5.325256408152605,9.0193495452801,0.37113722614930406,0.12658518277193406
760425,2026-06-14,1.0,2.126989479330733,3.19230769230769,3,1.3722818893727577,2.031563622532575,1.6858374136549403,0.12791436045920543,0.38252807483399337
760426,2026-06-15,1.0,2.2274254893472003,2.8299107142857203,3,1.426579059893029,1.7896655528506373,1.583709268125845,0.14794076217210722,0.2890628437025018
760427,2026-06-15,2.0,2.42519744288586,3.14025974025974,3,1.3465187418022344,1.5447958881656683,1.3363810137500856,0.1908470854673101,0.36904300563827264
760428,2026-06-15,5.0,2.730322324814749,3.51813186813187,4,2.495715717971113,2.015972963674108,2.884335774179362,0.5004094247269968,0.283796127479887
760429,2026-06-15,6.0,2.091103267681243,2.451548451548454,2,4.244203643866599,3.6504805878247324,3.5283635264419786,0.1458538199765736,0.08843822535149921
760430,2026-06-16,1.0,2.73938075885538,3.20138888888888,3,1.7316488644150885,2.0378041454682347,1.761209969199898,0.2662277524873396,0.3848788485438752
760432,2026-06-16,4.0,2.77278965275373,3.45222648635478,3,1.8714278499961323,1.6742027916914637,1.9214034849677062,0.2265427141759818,0.10875079579682011
760433,2026-06-16,4.0,3.1281550105333897,3.9134114583333304,4,1.7444353318719896,1.6338273313551,1.881650183634025,0.3825984615166166,0.20301062301930312
760431,2026-06-17,4.0,2.71599869786052,3.19727891156462,3,1.8974136071543182,1.7261323102111001,1.8496325747059505,0.2398193578876216,0.14475888852899965
760434,2026-06-17,5.0,2.74030419196919,2.9982993197279,3,2.487451268727802,2.295564890013716,2.3720208282446227,0.23406586266479795,0.1794125721338344
760435,2026-06-17,5.0,2.8613866843390197,3.45529640427599,3,2.3923466171625085,2.0432469296104303,2.2944302994414976,0.20697993194277453,0.10836920608764143
760436,2026-06-17,3.0,2.75524318375941,3.2645502645502598,3,1.506485526958171,1.5069437072410827,1.497553134754753,0.23058262023582193,0.13439223179263535
760437,2026-06-17,1.0,2.5803071821679,3.00852972768054,3,1.6323987274660179,1.9070782308210614,1.9653732630658811,0.22716232657065782,0.3349147725842696
760438,2026-06-18,5.0,2.9186133940873598,3.17543859649123,3,2.350561944581875,2.185701522116896,2.2944302994414976,0.1950715426395877,0.14826607819021317
760439,2026-06-18,4.0,2.69440475163484,2.69674185463659,3,1.9077493476357952,1.9066183896570714,1.7562677076384117,0.2450211574977987,0.24445405991295058
760440,2026-06-18,2.0,3.18103581642912,3.56140350877193,4,1.559769252607214,1.7142412669174005,1.5392786141832153,0.15465037334259543,0.227106921903534
760441,2026-06-18,9.0,3.1486010481054,3.5425101214574903,4,5.627804345883465,4.960817653972222,5.757461107212119,0.37697004007024526,0.2782436618507556
760442,2026-06-19,1.0,2.8543152900108,2.5249506903353,3,1.805483304033744,1.5987291563787411,2.111441549460282,0.2952750967466738,0.21397190484795767
760443,2026-06-19,5.0,3.20039798757577,3.38034188034188,3,2.1715138644095022,2.0779493610741646,2.159357701752996,0.1442637537269052,0.11802470364977885
760444,2026-06-19,12.0,3.15111156962172,3.42815170940171,3,9.365262827260068,8.631111136570496,8.997919978890131,0.1522561719207837,0.11178388376110551
760445,2026-06-19,1.0,3.36468615515388,3.4073183760683703,3,2.151351463820273,2.1813927941275644,2.3091118273968254,0.42692978421708083,0.43780676699110277
760446,2026-06-20,3.0,3.43154006836852,3.23177083333333,3,1.524272057800351,1.504439604710747,1.5334705637419508,0.1113526173911611,0.13936233217996258
760447,2026-06-20,6.0,3.2533788395703302,3.13352272727272,3,2.7544654561889503,2.8598268773504034,2.574258043917597,0.13606892189507086,0.1551966311362753
760448,2026-06-20,1.0,3.59795128706568,3.64192708333333,4,2.3175866905212414,2.3494141232790433,2.2920374544052313,0.23459349536288548,0.24370064621840176
760449,2026-06-21,2.0,3.69342560629056,3.7746494303242697,4,1.773464034867264,1.811181586385425,1.6811465316148904,0.25449370992558007,0.2717693103739032
760450,2026-06-21,3.0,3.27998911506432,3.2467134092901,3,1.5082282728545913,1.5055432005342433,1.5254957092715062,0.13210394313620888,0.13707773872150933
760451,2026-06-21,7.0,3.1122705118392,2.8677786298568497,3,3.6899641773487497,4.018175856310397,3.328727020588417,0.15881248581852872,0.20562182747125787
760452,2026-06-21,3.0,3.2145081654194003,2.843387866394,3,1.503244540308251,1.5001585798542503,1.5375328029983888,0.14204161979903313,0.21084235782604854
760453,2026-06-21,5.0,3.5184396596615004,3.2984589541337996,3,2.015843338304598,2.1186738178867497,2.0179225672387697,0.10077456003037856,0.12941002331449147
760454,2026-06-22,4.0,3.61437691006192,3.55750152625152,4,1.6527528268387401,1.65932143657788,1.659930934447138,0.262313130621973,0.27486652802743794
760455,2026-06-22,1.0,3.40186146939986,3.09623015873016,3,2.1775386965963026,1.966044865090694,2.2931902771015187,0.4364175252394356,0.3576282575245602
760456,2026-06-22,2.0,3.88621285811338,4.25137138188608,4,1.8644897884952658,2.0500353444904467,1.6876212435692088,0.2959248563483417,0.37704348209771565
760457,2026-06-22,1.0,3.30521186759634,2.9125496031746,3,2.1097112911744675,1.8435207532948992,2.2211596432493885,0.411675136706869,0.3101763393326981
760458,2026-06-23,4.0,3.32538902022784,3.20203488372093,3,1.6970961872606516,1.724942678592877,1.682115687203693,0.12556614216617565,0.14400447677330713
