"comparison","metric","n","mean_diff","t_stat","p_value","ci90_lo","ci90_hi","raw_pass"
"hier_vs_baseline","brier",98,0.0427259056977693,2.3852429431447,0.0190111098191672,0.0133725962220064,0.0713944823145432,TRUE
"hier_vs_baseline","logloss",98,0.0883913772706984,1.89676041234515,0.0608347576732958,0.0105896269724747,0.161083382047416,TRUE
"hier_vs_5050","brier",98,0.0485479499782906,2.17504424786362,0.0320575098462755,0.0123643194788511,0.0833832603438587,TRUE
"hier_vs_5050","logloss",98,0.100554676138999,1.77747552872628,0.0786241660936407,0.00812167595726872,0.187525763767587,TRUE
