event_id,date,team_a,team_b,stage,n_cards_team_a,n_cards_team_b,n_cards_total,both_teams_carded,card_events,first_card_min,first_card_team,first_card_type,first_card_display
760439,2026-06-18,Switzerland,Bosnia-Herzegovina,"2026 FIFA World Cup, Group Stage",1,3,4,True,59|Bosnia-Herzegovina|yellow-card|59';61|Bosnia-Herzegovina|yellow-card|61';65|Switzerland|yellow-card|65';80|Bosnia-Herzegovina|red-card|80',59,Bosnia-Herzegovina,yellow-card,59'
760440,2026-06-18,Canada,Qatar,"2026 FIFA World Cup, Group Stage",1,3,4,True,9|Canada|yellow-card|9';33|Qatar|red-card|33';53|Qatar|red-card|53';62|Qatar|yellow-card|62',9,Canada,yellow-card,9'
760441,2026-06-19,Mexico,South Korea,"2026 FIFA World Cup, Group Stage",0,2,2,False,4|South Korea|yellow-card|4';58|South Korea|yellow-card|58',4,South Korea,yellow-card,4'
760442,2026-06-19,United States,Australia,"2026 FIFA World Cup, Group Stage",3,4,7,True,16|Australia|yellow-card|16';32|Australia|yellow-card|32';56|United States|yellow-card|56';88|Australia|yellow-card|88';89|United States|yellow-card|89';89|Australia|yellow-card|89';90|United States|yellow-card|90'+3',16,Australia,yellow-card,16'
760443,2026-06-20,Türkiye,Paraguay,"2026 FIFA World Cup, Group Stage",1,2,3,True,4|Paraguay|yellow-card|4';45|Paraguay|red-card|45'+3';71|Türkiye|yellow-card|71',4,Paraguay,yellow-card,4'
760444,2026-06-20,Brazil,Haiti,"2026 FIFA World Cup, Group Stage",1,3,4,True,4|Haiti|yellow-card|4';45|Haiti|yellow-card|45'+4';65|Brazil|yellow-card|65';72|Haiti|yellow-card|72',4,Haiti,yellow-card,4'
760445,2026-06-19,Scotland,Morocco,"2026 FIFA World Cup, Group Stage",1,1,2,True,23|Morocco|yellow-card|23';65|Scotland|yellow-card|65',23,Morocco,yellow-card,23'
760446,2026-06-21,Ecuador,Curaçao,"2026 FIFA World Cup, Group Stage",1,5,6,True,38|Ecuador|yellow-card|38';39|Curaçao|yellow-card|39';53|Curaçao|yellow-card|53';56|Curaçao|yellow-card|56';75|Curaçao|yellow-card|75';90|Curaçao|yellow-card|90'+1',38,Ecuador,yellow-card,38'
760447,2026-06-20,Netherlands,Sweden,"2026 FIFA World Cup, Group Stage",0,3,3,False,53|Sweden|yellow-card|53';75|Sweden|yellow-card|75';80|Sweden|yellow-card|80',53,Sweden,yellow-card,53'
760448,2026-06-20,Germany,Ivory Coast,"2026 FIFA World Cup, Group Stage",0,0,0,False,,,,,
760449,2026-06-21,Tunisia,Japan,"2026 FIFA World Cup, Group Stage",0,0,0,False,,,,,
760450,2026-06-21,Uruguay,Cape Verde,"2026 FIFA World Cup, Group Stage",2,2,4,True,5|Cape Verde|yellow-card|5';20|Uruguay|yellow-card|20';58|Uruguay|yellow-card|58';90|Cape Verde|yellow-card|90'+3',5,Cape Verde,yellow-card,5'
760451,2026-06-21,Belgium,Iran,"2026 FIFA World Cup, Group Stage",2,1,3,True,3|Belgium|yellow-card|3';33|Iran|yellow-card|33';66|Belgium|red-card|66',3,Belgium,yellow-card,3'
