"match_id","match_date","team_name","referee_known_from_history","is_knockout","actual","lambda_baseline","lambda_hier","nll_baseline","nll_hier"
760416,"2026-06-12","Canada",TRUE,0,2,2.07073643410853,1.12166886183547,1.30807499611319,1.58518077942237
760416,"2026-06-12","Bosnia and Herzegovina",TRUE,0,3,1.71317829457364,2.03800827757101,1.88988687233346,1.69384875757774
760417,"2026-06-12","United States",TRUE,0,1,1.50732127476314,1.74320367165307,1.09698718954347,1.18747906073518
760417,"2026-06-12","Paraguay",TRUE,0,5,1.71317829457364,1.58497783430173,3.80891855157529,4.06961746426488
760418,"2026-06-13","Haiti",TRUE,0,1,1.72900763358779,2.05618593696992,1.18146001186585,1.3353331571967
760418,"2026-06-13","Scotland",TRUE,0,3,1.72900763358779,1.58120558059085,1.87812423765003,1.99840230449936
760419,"2026-06-13","Brazil",TRUE,0,2,1.44300254452926,2.04437296487832,1.40269763878777,1.30733789776577
760419,"2026-06-13","Morocco",TRUE,0,0,1.70966921119593,3.8180642534533,1.70966921119593,3.8180642534533
760420,"2026-06-13","Qatar",TRUE,0,2,1.95562977099237,2.61087715923063,1.3073524014255,1.38465185737622
760420,"2026-06-13","Switzerland",TRUE,0,1,1.97269524368761,1.47769835860926,1.29329449199009,1.08721264445643
760421,"2026-06-14","Australia",TRUE,0,0,1.80161691542289,2.05676392703427,1.80161691542289,2.05676392703427
760421,"2026-06-14","Turkey",TRUE,0,1,1.72388059701493,1.83079937767687,1.17930268644404,1.22604668779826
760422,"2026-06-14","Germany",TRUE,0,0,1.41994572591588,0.939032058031395,1.41994572591588,0.939032058031395
760422,"2026-06-14","Curaçao",TRUE,0,0,1.72388059701493,2.59097662462893,1.72388059701493,2.59097662462893
760423,"2026-06-14","Ivory Coast",TRUE,0,3,1.72388059701493,2.39026030547102,1.88190633453033,1.56781295139199
760423,"2026-06-14","Ecuador",TRUE,0,1,1.45242537313433,1.73962918022902,1.07919054293108,1.18595720452568
760424,"2026-06-14","Sweden",TRUE,0,0,1.66194029850746,1.81470195381031,1.66194029850746,1.81470195381031
760424,"2026-06-14","Tunisia",TRUE,0,1,1.60176390773406,1.86030589724875,1.13065844339783,1.23956496215942
760425,"2026-06-14","Netherlands",TRUE,0,3,2.06194029850746,3.34398064268863,1.68275747180014,1.51425439230859
760425,"2026-06-14","Japan",TRUE,0,0,1.43226176808266,2.1928096692109,1.43226176808266,2.1928096692109
760426,"2026-06-15","Belgium",TRUE,0,2,1.63141486810552,1.20610312811641,1.34566673756103,1.52446109430967
760426,"2026-06-15","Egypt",TRUE,0,2,1.55890287769784,1.66479210790461,1.36408547762869,1.33853877742579
760427,"2026-06-15","Iran",TRUE,0,1,1.95192936559843,1.07183539744266,1.28311106391879,1.00246289374532
760427,"2026-06-15","New Zealand",TRUE,0,0,1.69424460431655,1.24047411912124,1.69424460431655,1.24047411912124
760428,"2026-06-15","Spain",TRUE,0,1,1.03926858513189,0.608335124021413,1.00075140292551,1.10536448206256
760428,"2026-06-15","Cape Verde",TRUE,0,1,1.69424460431655,2.61168683746505,1.16700762399077,1.65169052701165
760429,"2026-06-15","Saudi Arabia",TRUE,0,1,2.13374754741661,2.05569423469041,1.37586770171473,1.33508061669298
760429,"2026-06-15","Uruguay",TRUE,0,0,1.4977863862756,1.0052168225754,1.4977863862756,1.0052168225754
760430,"2026-06-16","Iraq",TRUE,0,1,1.67482517482517,1.65433505734113,1.15911638823411,1.15093590728814
760430,"2026-06-16","Norway",TRUE,0,0,1.67482517482517,1.04741886157693,1.67482517482517,1.04741886157693
760432,"2026-06-16","France",TRUE,0,0,1.38811188811189,1.09423722306822,1.38811188811189,1.09423722306822
760432,"2026-06-16","Senegal",TRUE,0,0,1.69784382284382,1.90143150217251,1.69784382284382,1.90143150217251
760433,"2026-06-16","Argentina",TRUE,0,0,2.27338286713287,1.40528905660513,2.27338286713287,1.40528905660513
760433,"2026-06-16","Algeria",TRUE,0,0,1.67482517482517,1.97468156838721,1.67482517482517,1.97468156838721
760431,"2026-06-17","Austria",TRUE,0,1,1.64383561643836,0.987322325910817,1.1468033148047,1.00008104743407
760431,"2026-06-17","Jordan",TRUE,0,0,1.64383561643836,1.21641911646569,1.64383561643836,1.21641911646569
760434,"2026-06-17","Ghana",TRUE,0,1,2.02739726027397,1.53993675033763,1.32064442765825,1.10819540596487
760434,"2026-06-17","Panama",TRUE,0,2,2.15239726027397,1.04825247182536,1.31237998930988,1.64715072215445
760435,"2026-06-17","Portugal",TRUE,0,3,1.37279843444227,0.756122388936658,2.21400397565389,3.38653793549734
760435,"2026-06-17","DR Congo",TRUE,0,1,1.64383561643836,1.51397660483671,1.1468033148047,1.09923690249256
760436,"2026-06-17","Uzbekistan",TRUE,0,1,1.64383561643836,1.36400315827612,1.1468033148047,1.05357928340583
760436,"2026-06-17","Colombia",TRUE,0,1,2.02435312024353,1.03866391058749,1.31910291751234,1.00072872472864
760437,"2026-06-17","England",TRUE,0,0,1.01289282836422,0.601027496285545,1.01289282836422,0.601027496285545
760437,"2026-06-17","Croatia",TRUE,0,0,1.59048305695746,1.21131396779015,1.59048305695746,1.21131396779015
760438,"2026-06-18","Czech Republic",TRUE,0,1,1.35209713024283,0.947158850429317,1.05044031330698,1.00144730960661
760438,"2026-06-18","South Africa",TRUE,0,2,2.01876379690949,1.1096618320508,1.30694029277366,1.59469838641646
760439,"2026-06-18","Switzerland",TRUE,0,1,1.86518448438978,0.979036532094413,1.24182451694234,1.00022285351762
760439,"2026-06-18","Bosnia and Herzegovina",TRUE,0,3,1.85209713024283,1.56923947250229,1.79490085651836,2.00922567300327
760440,"2026-06-18","Canada",TRUE,0,1,2.01250919793966,0.741866986380666,1.31312689723472,1.04045230190299
760440,"2026-06-18","Qatar",TRUE,0,3,1.90139808682855,1.21842770783688,1.76538920380256,2.41750338654567
760441,"2026-06-18","Mexico",TRUE,0,0,2.00866021395823,1.24719572550018,2.00866021395823,1.24719572550018
760441,"2026-06-18","South Korea",TRUE,0,2,1.85481406011207,1.40113529620996,1.31239233287407,1.41971680904443
760442,"2026-06-19","United States",TRUE,0,3,1.41129032258065,1.12943117308907,2.16953656685327,2.55604828430969
760442,"2026-06-19","Australia",TRUE,0,4,1.62406947890819,1.04858084280329,2.86238321564305,4.0368839864269
760443,"2026-06-19","Turkey",TRUE,0,1,1.51881720430108,0.898447430399557,1.10088532742778,1.00553451305054
760443,"2026-06-19","Paraguay",TRUE,0,2,2.18548387096774,1.40844022802278,1.31495654097836,1.41662166695215
760444,"2026-06-19","Brazil",TRUE,0,1,1.4445564516129,0.777840324978922,1.0767541310696,1.02907433866313
760444,"2026-06-19","Haiti",TRUE,0,3,1.51881720430108,1.98127794110688,2.05678104290925,1.72181122640226
760445,"2026-06-19","Scotland",TRUE,0,1,1.85215053763441,1.59830929216207,1.2358031208939,1.12936291400807
760445,"2026-06-19","Morocco",TRUE,0,1,1.5695564516129,1.24881229758368,1.11876338706378,1.02661935989252
760446,"2026-06-20","Ecuador",TRUE,0,1,1.35115303983229,0.931037637540371,1.05019470834138,1.00249321305897
760446,"2026-06-20","Curaçao",TRUE,0,5,1.36006289308176,1.59951285953114,4.60989991790502,4.03850900184073
760447,"2026-06-20","Netherlands",TRUE,0,0,2.10548885077187,1.9109070043753,2.10548885077187,1.9109070043753
760447,"2026-06-20","Sweden",TRUE,0,3,1.46912521440823,2.09849532875126,2.10688328939524,1.66659306459469
760448,"2026-06-20","Germany",TRUE,0,0,1.26336477987421,0.923351629241904,1.26336477987421,0.923351629241904
760448,"2026-06-20","Ivory Coast",TRUE,0,0,1.86006289308176,1.37336193426596,1.86006289308176,1.37336193426596
760449,"2026-06-21","Tunisia",TRUE,0,0,1.51234567901235,1.73777008339444,1.51234567901235,1.73777008339444
760449,"2026-06-21","Japan",TRUE,0,0,1.2962962962963,0.787362387148108,1.2962962962963,0.787362387148108
760450,"2026-06-21","Uruguay",TRUE,0,2,1.36772486772487,0.873136465562277,1.43457469050713,1.83761048095854
760450,"2026-06-21","Cape Verde",TRUE,0,2,1.52469135802469,1.22499688912612,1.37425453579345,1.51226746067689
760451,"2026-06-21","Belgium",TRUE,0,2,1.63425925925926,1.23241948489578,1.34502714132094,1.5076080691672
760451,"2026-06-21","Iran",TRUE,0,1,1.84567901234568,1.53511759065443,1.23283177418738,1.10651060625985
760452,"2026-06-21","New Zealand",TRUE,0,2,1.35802469135802,1.15576305453166,1.43910944967802,1.55938867686637
760452,"2026-06-21","Egypt",TRUE,0,1,1.57201646090535,1.2039779215352,1.11965729563932,1.01834691241206
760453,"2026-06-21","Spain",TRUE,0,0,1.01139601139601,0.575265258519819,1.01139601139601,0.575265258519819
760453,"2026-06-21","Saudi Arabia",TRUE,0,2,2.01234567901235,2.29909831392345,1.30689076730364,1.32721147719588
760454,"2026-06-22","Norway",TRUE,0,0,1.34730538922156,1.22749148173598,1.34730538922156,1.22749148173598
760454,"2026-06-22","Senegal",TRUE,0,0,1.54491017964072,1.51793506685337,1.54491017964072,1.51793506685337
760455,"2026-06-22","Jordan",TRUE,0,1,1.34730538922156,1.15123170192193,1.04919879943389,1.01039928755691
760455,"2026-06-22","Algeria",TRUE,0,1,1.34730538922156,0.919121646563084,1.04919879943389,1.00345844354567
760456,"2026-06-22","Argentina",TRUE,0,2,2.12257837266643,1.12509185787022,1.31046242679183,1.5825096709036
760456,"2026-06-22","Austria",TRUE,0,2,1.51397205588822,1.53397017870556,1.37764584104072,1.37139883418934
760457,"2026-06-22","France",TRUE,0,0,1.30419161676647,0.680883460016397,1.30419161676647,0.680883460016397
